Title     : Practice English conversation for free  | Exercise vocabulary #speakenglish #englishconversation
Video ID  : UI9rZ4P0QGc
[02:51.76]  for this means that you're going to go
[02:53.44]  outside and do this activity so in
[02:56.24]  today's lesson we're going out for a run
[02:58.72]  so a really natural english phrase that
[03:00.64]  you can use to ask someone to do
[03:02.72]  something with you is to say
[03:04.72]  will you join me or if you're just
[03:06.96]  telling them without asking you can
[03:08.64]  always say join me
[03:10.48]  so join me in today's english lesson
[03:12.96]  join me in a run join me means come with
[03:16.64]  me and do this activity with me if you
[03:19.20]  describe yourself as out of shape
[03:22.72]  it means you do not have good physical
[03:25.84]  shape
[03:26.72]  good endurance so you're not good at
[03:29.12]  running
[03:30.08]  or maybe you've gained some weight out
[03:33.12]  of shape means that you are not very
[03:34.80]  good at exercising right now but if you
[03:37.28]  are getting into shape and you describe
[03:39.44]  yourself as in shape
[03:41.92]  it means that you are very fit and that
[03:43.92]  you can do exercise or running
[03:47.12]  very well so there's out of shape which
[03:49.28]  means you're
[03:50.56]  in poor physical health and in shape
[03:53.28]  which means you're in very good health
[03:54.88]  so in today's conversation the excuse
[03:57.36]  was i just ate a ton if you say you ate
[04:01.04]  a ton it means you ate a lot
[04:03.92]  a ton is actually 2 000 pounds
[04:06.48]  technically but we use the word ton to
[04:09.36]  describe a lot of something very
[04:11.68]  commonly in american english i wanted to
[04:14.00]  point out in this conversation that we
[04:16.64]  said excuses excuses
[04:19.52]  this is a really common phrase in the
[04:21.44]  united states and it's a very common way
[04:24.16]  to just kind of shame someone for making
[04:26.96]  excuses excuses
[04:28.80]  excuses an excuse is a reason why you're
[04:31.68]  not going to do something and if you're
[04:33.60]  shaming someone about an excuse
[04:36.56]  it means you're telling them that
[04:38.32]  they're making excuses rather than doing
[04:40.80]  something that they really should do
[04:42.64]  when you respond with fair enough
[04:45.76]  that means it's okay it's fair it's fair
[04:49.20]  enough to agree to oftentimes if you
[04:51.84]  want to agree with someone you can just
[04:54.00]  say that's fair enough or if someone has
[04:56.24]  offered you a deal and you think the
[04:57.92]  deal is okay you can say it's fair
[05:00.56]  enough i want to teach you about the
[05:02.72]  term going for if you say you're going
[05:05.52]  for something you're trying to achieve
[05:08.00]  it
[05:08.64]  so if you're going for two miles that
[05:11.92]  means you're going to try to run two
[05:13.92]  miles and that would be a good
[05:16.16]  achievement
[05:17.60]  if you're going for three miles you
[05:20.40]  might say i only ran two miles but i was
[05:23.44]  going for three miles it means you
[05:25.60]  intended on doing a three mile run
[05:29.36]  and notice that we're talking about
[05:30.96]  miles because in the united states that
[05:33.52]  is the most common way that we measure
[05:35.68]  distance have you ever heard of the wait
[05:38.32]  and see approach the wait and see
[05:40.80]  approach is
[05:42.40]  when you kind of have a problem
[05:44.96]  or you are just trying to figure
[05:46.80]  something out what's going to happen
[05:48.88]  instead of trying to reason what's going
[05:50.72]  to happen or really think about it you
[05:52.80]  say well i'm just going to wait and see
[05:56.08]  so this is kind of like a phrase we use
[05:58.16]  a kind of a method that you could say is
[06:01.28]  used for problem solving the wait and
[06:03.28]  see approach so in this lesson we said
[06:05.44]  let's start with this and c
[06:08.16]  so it's kind of like wait and see
[06:11.04]  now i hope that you understand more of
[06:13.60]  the natural vocabulary in today's
[06:16.00]  english conversation i want you to
[06:17.76]  practice role a you'll speak first i'll
[06:21.44]  be roll b and i'll speak second let's go
[06:31.92]  i'm really out of shape
[06:41.04]  i just ate a ton
[06:50.56]  fair enough
[06:55.92]  let's start with two and see how we feel
[06:59.76]  we are done with the first part of this
[07:02.48]  conversation there is a second part of
[07:04.56]  the conversation and i want you to
[07:06.56]  practice role b this time i will be roll
[07:09.68]  a
[07:10.40]  stick around for the whole video because
[07:12.16]  we'll practice it all together as well
[07:14.88]  ready to go
[07:18.96]  sure
[07:19.84]  do some light stretches
[07:24.80]  smart
[07:25.84]  when's the last time we went for a run
[07:27.44]  together
[07:31.36]  well i'm excited let's hit it
[07:45.52]  let's go over the vocabulary that is in
[07:47.92]  the second half of the conversation so
[07:49.68]  first we have the term warm-up
[07:52.08]  you can have a warm-up for exercise
[07:54.24]  which means you're doing very
[07:56.08]  small movements you're not getting very
[07:58.24]  sweaty yet or very tired you're just
[08:01.04]  trying to ease your body into something
[08:03.36]  you can also have a warm-up for singing
[08:05.36]  i've heard of people
[08:06.72]  doing warm-ups with their voice so that
[08:08.96]  when they want to sing very loudly their
[08:11.20]  voice is ready
[08:12.80]  and it's warm
[08:14.56]  a warm up is something you do before you
[08:17.20]  actually start practicing or exercising
[08:20.48]  or whatever it might be so along with
[08:23.04]  warming up i use the term light to
[08:25.68]  describe the stretches that we're going
[08:27.36]  to do if you say i'm going to do light
[08:29.92]  stretches it means you're going to do
[08:31.52]  very easy stretches a lot of times foods
[08:34.64]  will say they are light that means they
[08:36.72]  might have less sugar or less fat than
[08:39.36]  normal so we use the term light in
[08:41.84]  english to
[08:43.28]  say that it has less of something or
[08:45.44]  it's easier this next phrase i really
[08:48.08]  felt like it was important to learn as
[08:50.16]  an english learner it's just kind of a
[08:51.84]  funny one especially if you're into
[08:53.68]  sports
[08:54.80]  or physical activity the phrase is pull
[08:58.08]  a hammy
[08:59.60]  a hammy
[09:00.96]  is slang shortened english for your
[09:04.72]  hamstring so the muscle on the back of
[09:07.04]  your leg i know you guys can't see me
[09:08.80]  right now
[09:09.84]  the back of your leg is your hamstring
[09:12.08]  if you didn't know
[09:13.52]  so
[09:14.48]  if you say i'm going to pull a hammy it
[09:17.04]  means you're going to injure your
[09:18.64]  hamstring muscle and sometimes we just
[09:20.96]  say this as a funny phrase to be like
[09:23.12]  i'm out of shape like
[09:24.96]  if i exercise too much i'm gonna pull a
[09:27.12]  hammy
[09:28.16]  that means that you're gonna injure
[09:29.60]  yourself because
[09:31.12]  you're not used to exercising a very
[09:33.12]  casual way to respond to someone's good
[09:36.24]  point in a conversation or good idea is
[09:39.20]  to say smart so you might say i'm going
[09:41.28]  to practice english today i'll say
[09:43.44]  that's smart nice job
[09:45.52]  this just means it's a good idea to do
[09:48.32]  so if you respond to someone with just
[09:50.16]  saying smart
[09:51.52]  that means they had a good idea if
[09:53.52]  something takes a really long time and
[09:56.48]  you feel like you've been waiting
[09:57.52]  forever or if someone says when's the
[10:00.24]  last time you did this and it's been a
[10:02.24]  very long time like in this conversation
[10:04.56]  with running
[10:05.76]  you can say it's been forever and a day
[10:08.80]  so once last time you went for a run
[10:11.04]  it's been forever and a day this is just
[10:14.32]  a natural phrase to use when it's been a
[10:16.64]  long time you can also say it when
[10:18.40]  you're not very patient
[10:20.16]  maybe you're waiting for your coffee in
[10:21.92]  a line you say what's taking so long
[10:24.08]  it's been forever and a day a good slang
[10:26.80]  phrase to use when you want to start
[10:29.52]  something say let's go let's go do it to
[10:31.92]  say
[10:32.96]  let's hit it now you're actually not
[10:35.28]  going to hit anything
[10:37.92]  but it's just a way to say let's start
[10:40.00]  this let's get going it's a very
[10:42.48]  enthusiastic phrase to say let's start
[10:45.12]  let's hit it if you didn't already know
[10:47.44]  from watching youtube which i recommend
[10:49.76]  that you change your internet browser
[10:51.76]  and your phone to english to help you
[10:54.24]  get extra practice daily
[10:56.64]  a playlist is a list of videos or lists
[11:00.56]  of songs that you're going to listen to
[11:03.12]  so i use spotify i know a lot of people
[11:05.60]  use spotify and i like to make playlists
[11:09.04]  so when i go for a run
[11:10.96]  i listen to my playlists the last phrase
[11:13.36]  that's a really super important phrase
[11:15.36]  for you to know is the phrase get into
[11:18.24]  the zone or get in the zone
[11:20.96]  it doesn't matter here if you say in or
[11:23.04]  into
[11:24.16]  the zone i use my quotations because the
[11:27.36]  zone is not real
[11:29.44]  the zone is just a figurative phrase
[11:32.32]  that means
[11:33.52]  a place where you're doing really good
[11:35.52]  exercise or if you say i was in the zone
[11:38.16]  yesterday when i took the test
[11:40.64]  it means your brain was thinking really
[11:43.36]  good you were doing a really good job so
[11:45.84]  it's just a figure of speech to say that
[11:48.24]  you're gonna do something really well if
[11:50.64]  you're in the zone when i start working
[11:52.96]  really fast on my computer
[11:54.96]  i say i was totally in the zone
[11:58.48]  we are going to practice the second part
[12:01.12]  of this english conversation again
[12:04.24]  this time i will speak
[12:06.64]  second i'll be roll b and you will be
[12:08.88]  roll a you guys are killing it let's go
[12:19.92]  yeah but can we warm up first
[12:27.28]  i don't want to pull a hammy
[12:35.12]  it's been forever in a day
[12:39.76]  wait let me get my playlist set i have
[12:42.00]  to get into the zone so i can have a
[12:43.76]  good run
[12:44.72]  okay guys you are definitely ready to
[12:47.12]  practice both parts of this english
[12:49.28]  conversation
[12:50.72]  you know the vocabulary so
[12:53.12]  let's hit it let's get to it let's get
[12:55.76]  in the zone
[12:57.28]  you guys have made it this far in the
[12:58.96]  english lesson nice job this time you
[13:01.60]  are going to practice as role be so
[13:03.84]  you'll speak second and i'll speak first
[13:06.88]  hey i'm going out for a run do you want
[13:08.48]  to join me
[13:14.80]  come on we'll go slow it's a great
[13:17.12]  chance for you to get some exercise
[13:23.52]  excuses excuses
[13:25.92]  how about if i wait an hour then will
[13:27.84]  you come
[13:31.68]  how many miles are we going for
[13:37.12]  ready to go
[13:41.20]  sure
[13:42.08]  do some light stretches
[13:47.04]  smart when's the last time we went for a
[13:49.44]  run together
[13:53.52]  well i'm excited let's hit it
[14:07.76]  are you guys tired of this conversation
[14:09.68]  yet it's your turn to practice role a
[14:12.72]  now so you'll speak first and this is
[14:14.80]  our last speaking practice so good luck
[14:25.44]  i'm really out of shape
[14:34.56]  i just ate a ton
[14:44.08]  fair enough
[14:49.44]  let's start with two and see how we feel
[14:58.32]  yeah but can we warm up first
[15:05.68]  i don't want to pull a hammy
[15:13.52]  it's been forever and a day
[15:18.16]  wait let me get my playlist set i have
[15:20.40]  to get into the zone so i can have a
[15:22.16]  good run thank you guys so much for
[15:24.32]  watching this english lesson with me if
[15:26.48]  you like english lessons like this one
[15:28.56]  or we're actually talking and having a
[15:30.48]  conversation make sure you subscribe to
[15:32.72]  my channel
[15:33.84]  and make sure you click on one of the
[15:35.52]  videos next that's another practice
[15:37.92]  english conversation for you congrats on
[15:40.56]  getting the speaking practice today and
[15:42.24]  i hope that you remember all of this
[15:44.56]  exercise and running vocabulary and you
[15:47.44]  can really use it in your english
[15:49.36]  conversations thanks for watching and
[15:52.00]  best of luck studying
[15:54.53]  [Music]
