Title     : 你家外墙怎么总是鼓包掉皮？掏空6个钱包，买不来一个正经外立面？【柴知道】
[04:00.28]  真石头 也就是石材来做外立面
[04:06.10]  石材的原料一般是
[04:07.25]  大理石 花岗岩等
[04:09.11]  所谓干挂石材
[04:10.19]  就是通过金属挂件
[04:11.64]  把石材挂到外墙上
[04:13.66]  很显然 石材美观 耐脏
[04:15.90]  价格高 上档次
[04:17.43]  绝不会像涂料那样鼓包 掉皮
[04:20.85]  但问题是
[04:21.68]  干挂石材
[04:22.28]  对施工技术的要求也很高
[04:24.86]  如果没有按照标准施工
[04:26.39]  它一旦脱落起来
[04:27.54]  那可比涂料吓人多了
[04:30.81]  位于北京市朝阳区的
[04:32.09]  时代国际嘉园小区
[04:33.75]  就出现过外墙大理石脱落的情况
[04:36.44]  还砸到了两辆车
[04:38.49]  而更令人震惊的是
[04:40.02]  业主们在大理石脱落后才发现
[04:42.39]  墙里居然还藏着各种水泥编织袋
[04:44.82]  泡沫板等建筑垃圾
[04:46.74]  这种施工质量 不脱落才怪
[04:49.30]  小区的业主们气不过
[04:50.70]  将开发商告上了法庭
[04:55.77]  庭审中 开发商一会儿说楼龄太长
[04:58.13]  一会儿说物业维护不到位
[04:59.93]  但最终法院的鉴定结果显示
[05:02.04]  施工质量缺陷
[05:03.32]  才是导致干挂石材脱落的主要原因
[05:14.06]  所以 加钱只能买到更好的材料
[05:16.82]  但施工质量
[05:17.78]  就全凭开发商和施工队的良心了
[05:20.71]  施工不负责
[05:21.73]  再好的材料也会脱落
[05:23.78]  更何况有些时候
[05:25.25]  加钱连更好的材料都买不到
[05:31.08]  近年来 铝板成为一些
[05:32.68]  高端住宅的标配外立面
[05:34.60]  它自重比大理石轻 颜值也更高
[05:37.80]  杭州的几个小区
[05:38.80]  业主们甚至自己筹钱
[05:40.73]  把小区的外立面升级成了铝板
[05:43.11]  这样二手房价都能抬高一些
[05:45.80]  而深圳宝安区的尖岗山壹号花园
[05:48.49]  2020 年的开盘价
[05:49.76]  高达 8万2 到 9万5 一平米
[05:52.13]  开发商的宣传图上
[05:53.17]  也画着像铝板的外墙
[05:55.70]  问题是 在业主们交完钱
[05:57.64]  等到实际施工时却发现
[05:59.76]  铝板变成了瓷砖
[06:02.05]  由此还引发了一场
[06:03.20]  不大不小的维权事件
[06:05.06]  当然最后也只能是不了了之
[06:07.96]  当然 也不是说用上铝板
[06:09.93]  就万事大吉了
[06:11.46]  比如杭州一些豪宅的铝板外立面
[06:13.64]  也出现过铝板变形
[06:15.05]  凹凸不平的情况
[06:16.96]  至于具体的变形的原因
[06:18.50]  那跟安装时工艺 铝板的尺寸
[06:20.42]  还有最初的设计可能都有关
[06:23.05]  不过话说回来
[06:24.32]  倒是也没有氪金解决不了的问题
[06:26.95]  如果你不止掏了 6 个钱包
[06:28.41]  而是 60
[06:29.55]  而是 60 600
[06:29.95]  而是 60 600 6000
[06:30.27]  而是 60 600 6000 60000 个钱包
[06:32.17]  那就可以不靠运气 纯凭实力
[06:34.55]  买到一个金光闪闪的铝板外立面
[06:37.53]  比如位于黄浦江畔的
[06:38.92]  上海顶豪汤臣一品
[06:40.84]  就采用了铝复合板外立面
[06:42.82]  还设计了“琥珀黄”的专利外墙色
[06:45.18]  尽显奢华
[06:46.46]  至今也没有因为外立面脱落
[06:48.13]  而登上民生新闻
[06:50.75]  当然 这需要你具备亿点点实力
[06:53.37]  这里均价 27 万每平
[06:55.10]  最小户型是 434 平
[06:57.21]  总价刚过 1 个小目标
[06:59.39]  如果你有兴趣的话
[07:00.41]  那可以联系我们
[07:01.56]  领取一张满 1 亿减 50 的优惠券
[07:03.80]  助力每一个梦想
[07:06.07]  总而言之 外立面掉皮 脱落
[07:08.28]  固然跟外立面本身的
[07:09.43]  成本 材料有关
[07:10.96]  但跟施工质量
[07:11.82]  天气环境等因素的关系
[07:13.47]  也同样密切
[07:15.22]  一个漂亮的外立面
[07:16.56]  需要根据当地的气候
[07:17.85]  选择合适的材料
[07:19.17]  让开发商认真负责地
[07:20.51]  按照标准施工
[07:21.93]  还要物业在后期勤加维护
[07:23.80]  才能实现
[07:25.13]  但凡缺失一环
[07:26.37]  那无论用什么外立面材料
[07:28.08]  都可能掉皮 脱落
[07:30.89]  哪怕高级写字楼用的玻璃幕墙
[07:33.13]  在遇上极端天气时也撑不住
[07:40.48]  而每一个买过房的人都会知道
[07:42.66]  即便你掏空 6 个钱包
[07:44.26]  背上 30 年贷款
[07:45.93]  能不能碰上诚信 负责 认真
[07:48.41]  把你的钱当钱的开发商和物业
[07:50.80]  也完完全全是一场
[07:51.95]  纯靠运气的赌博
[07:54.00]  所以付出几百万上千万
[07:56.04]  也未必能买到一个正经
[07:57.52]  体面的外立面
[07:59.18]  在此
[08:00.01]  我们只能祝愿各位运气爆棚了
[08:04.98]  过年啦
[08:06.01]  给大家发点福利啊
[08:07.22]  祝大家早日在北京买到房
[08:10.10]  谢谢老板
