Title     : ADVANCED FLYING VOCABULARY  ✈️  | Words & phrases you need to know
Video ID  : MTGvqz4wOAE
[07:31.04]  wall that separates cabins so there are
[07:33.88]  different cabins when you board the
[07:35.60]  plane you have well economy or first
[07:38.44]  class and there may be this dividing
[07:41.04]  wall now the
[07:43.20]  seats right right next to the dividing
[07:46.04]  wall right here what would you refer to
[07:49.56]  these seats as and there's
[07:53.28]  really well I I don't want to give it
[07:55.48]  away and this is a part of the plane to
[07:58.08]  be honest I I've heard some people enjoy
[08:01.36]  sitting here at this at these seats
[08:04.04]  right here I don't personally I don't
[08:05.40]  really like it um the answer is not the
[08:08.84]  aisle because there are many uh there
[08:10.64]  are many aisle seats on a plane these
[08:13.48]  specifically that are behind that
[08:15.96]  dividing wall what you know that's that
[08:19.88]  area what kind of seats would you call
[08:23.64]  those write your answers in the chat in
[08:26.24]  the comments I just want you to
[08:28.24]  participate practice build your
[08:31.84]  vocabulary so the the seats right here
[08:34.64]  the dividing wall is called the bulkhead
[08:39.40]  Rich chub rby nice so the the seats
[08:42.12]  would be like it's bulkhead seating so
[08:45.36]  if somebody if I were sitting in this
[08:47.96]  seat and somebody were ask me oh how was
[08:49.60]  your flight where did you sit and I was
[08:51.32]  like yeah it was a you know bulkhead
[08:53.60]  then that basically means those are the
[08:55.68]  seats that are right behind that
[08:58.24]  dividing wall so that wall that dividing
[09:02.08]  interior wall is called like that is the
[09:04.40]  bulkhead so if we're talking about the
[09:06.32]  seats you could say bulkhead seating or
[09:09.16]  some people might just say bulkhead um
[09:12.40]  but just keep that in mind there are
[09:14.56]  different well there there may be
[09:16.56]  several different Dividing Walls several
[09:18.60]  bulkheads um on the plane depends how
[09:21.16]  large it is so now I want you to
[09:23.40]  complete the sentence I'm actually going
[09:25.96]  to tell you a story we were traveling
[09:29.68]  I don't want to say yesterday maybe it
[09:31.48]  was two days ago it was a long flight
[09:35.44]  and the first part of this and as we go
[09:37.76]  through these are all different words
[09:39.68]  and phrases related to
[09:41.88]  Flying
[09:43.72]  um yesterday or I guess I could say
[09:46.76]  maybe two days ago again it's all
[09:48.64]  blurring together yesterday we took an M
[09:52.40]  flight from San Francisco to Budapest
[09:56.88]  it's a true story now there are
[09:58.88]  different different words that you could
[10:01.20]  fill in there and there's really one
[10:04.60]  specific that I'm looking for and the
[10:07.20]  picture it's a little bit of a hint
[10:10.64]  another hint
[10:12.80]  um there is that that article an so that
[10:17.68]  tells you that the next word begins with
[10:20.24]  a vowel sound and I told you there are
[10:22.16]  several several words that you could
[10:24.40]  fill in there so there are quite a few
[10:28.16]  answers that you could uh put put in
[10:31.24]  there but you'll you'll see where I'm
[10:32.52]  going with this when uh um when I show
[10:36.04]  you what the the answer that I'm looking
[10:37.92]  for yesterday we took an flight from San
[10:41.56]  Francisco to Budapest I see a lot of
[10:44.12]  people saying International that is true
[10:46.00]  you could that works it is an
[10:47.60]  international flight but that's not uh
[10:49.48]  what I'm going for uh some people said
[10:51.64]  direct flight actually I wish I wish
[10:55.20]  that it were a direct flight it was not
[10:57.28]  a direct flight but you could say uh
[11:00.56]  maybe an indirect flight but that's also
[11:03.00]  not the answer I was looking for uh I
[11:05.28]  heard people put some people put in a
[11:07.40]  red eyee yes but what I was
[11:10.96]  actually going for was an overnight
[11:13.68]  flight so in overnight flight this is
[11:16.44]  also informally called a red eyee so we
[11:19.88]  took an overnight flight and I tried to
[11:21.68]  give you a picture you see that it's
[11:23.28]  dark outside uh we took an overnight
[11:25.72]  flight from San Francisco to Budapest
[11:28.16]  again true story this is a flight that
[11:31.00]  it departs at night and arrives the next
[11:34.36]  day it's an overnight flight pretty much
[11:36.68]  means what it says but informally and I
[11:39.44]  think this is actually more common in
[11:42.36]  the United States people may refer to
[11:44.60]  this as a red eyee that you fly
[11:47.72]  overnight you get in the next morning to
[11:50.88]  you arrive at your destination and you
[11:52.52]  were on the red eyee and they call they
[11:54.56]  call it this because if you don't sleep
[11:56.08]  much maybe your your eyes uh can be a
[11:58.48]  little red
[11:59.64]  and that's why they would call these
[12:01.20]  flights a red eyee uh so yesterday
[12:04.92]  that's true we took an overnight flight
[12:06.36]  from San Francisco to Budapest now our
[12:09.56]  flight from San Francisco to Budapest it
[12:12.08]  was not a direct flight it was an
[12:14.52]  indirect flight and we had
[12:18.76]  to
[12:21.52]  Frankfurt
[12:23.04]  what what what phrase are you going to
[12:25.84]  use I've gone ahead and told you that
[12:28.40]  this
[12:29.48]  is a phrasal
[12:32.04]  verb we had to M
[12:35.44]  Frankfurt what do you
[12:37.92]  think so this is a a phrasal verb that
[12:42.40]  you would use when you know you're
[12:45.12]  flying it's not it's not a direct
[12:48.88]  flight and what would you
[12:53.04]  use see some uh good answers um so you I
[12:59.52]  I know what you mean transfer if you're
[13:01.36]  actually going to use transfer that's
[13:02.68]  not a phrasal verb you would need to
[13:04.16]  follow it with a a particle and you
[13:08.40]  would still you would use it you could
[13:09.96]  say transfer but you need to follow it
[13:11.60]  with another particle uh stop over no I
[13:16.08]  see some people lay over no so the
[13:19.44]  phrasal verb that we're talking about
[13:21.92]  because that would uh that would
[13:25.40]  complete the sentence now of course I
[13:27.24]  could say we had to stop in
[13:29.96]  Frankfurt but that's not what we're
[13:32.24]  that's not what I'm looking for so the
[13:34.04]  the phrasal verb that I'm talking about
[13:37.84]  is wow it's surprised nobody nobody got
[13:40.24]  it connect through so we were connecting
[13:43.80]  through Frankfort some people put
[13:46.60]  transfer that would work but again you
[13:49.12]  would want to use through as well you're
[13:50.96]  going to transfer through Frankfurt
[13:53.16]  actually flying and this may be more
[13:56.00]  American English I'd say it's probably a
[13:57.76]  little more common to say connect
[13:59.32]  through instead of transfer through both
[14:02.00]  of them would work but if you connect
[14:03.76]  through this is when you train you
[14:05.68]  change from one plane to another in
[14:08.28]  order to continue your journey now
[14:11.72]  sometimes people may not always change
[14:13.68]  planes overwhelmingly they do and you
[14:16.96]  stop in one city you change to another
[14:19.92]  plane and you are connecting through
[14:22.60]  that City so our flight from San
[14:25.64]  Francisco to Budapest was not a direct
[14:27.56]  flight we had to connect through
[14:31.48]  Frankfurt the next part and this is also
[14:34.76]  true we experience some M which always
[14:38.80]  makes me feel a little
[14:41.44]  uneasy and you can see in the picture
[14:44.52]  there I tried to find something that
[14:47.76]  was well I don't know related to this
[14:52.60]  vocabulary and I think when you're
[14:55.08]  flying this is something that's pretty
[14:58.08]  common
[14:59.92]  and you experience this while flying and
[15:03.92]  when this happens yeah it can make me
[15:05.84]  feel a little
[15:07.60]  uneasy what
[15:10.40]  word I just well yeah I give it it is
[15:13.04]  one word What word are we looking
[15:17.52]  for uh great job Sam uh
[15:21.88]  si tarus uh we're talking about
[15:26.44]  turbulence and once again you're on a
[15:29.84]  plane the you hear these announcements
[15:33.72]  this is a word listen for it you
[15:36.08]  experience turbulence this is when
[15:38.72]  they're I give you the meaning down here
[15:40.76]  it's an Abrupt these are abrupt uh
[15:42.96]  caused by abrupt irregular movements of
[15:45.28]  air that create a sharp quick up the
[15:48.40]  sharp quick updrafts and downdrafts so
[15:50.64]  basically the plane is just shaking and
[15:52.80]  there is some turbulence and sometimes
[15:55.60]  it's pretty mild other times it can be
[15:59.04]  it can be intense actually we had uh one
[16:01.96]  period on the flight that yeah it lasted
[16:04.44]  for like 20 25 minutes uh and it was uh
[16:08.20]  yeah it was a little intense uh so we
[16:09.92]  experienced some turbulence and I felt a
[16:12.36]  little
[16:13.68]  uneasy now while in
[16:16.84]  Frankfurt we had a
[16:20.56]  three-hour you can see these people
[16:23.48]  sitting there uh on those chairs kind of
[16:27.72]  just chilling out
[16:29.28]  and again this is this is true I'm kind
[16:31.36]  of using these words and phrases to talk
[16:33.80]  about my flying experience from San
[16:36.36]  Francisco to Budapest uh so as you as
[16:39.04]  you can tell yes I'm back in Hungary
[16:41.36]  we're back home uh and we're still I'm
[16:44.12]  still maybe take another week before we
[16:46.32]  get back onto our to our regular
[16:48.28]  schedule uh we don't often have these
[16:50.28]  Friday lessons but while in Frankfurt we
[16:52.96]  had a
[16:54.36]  three-hour
[16:56.92]  what and I I'm going to actually talk
[16:59.96]  about two
[17:02.64]  different words and talk a little bit
[17:05.72]  about the difference so well done Julia
[17:10.12]  Allen we're talking about a layover
[17:13.28]  while in Frankfurt we had a three-hour
[17:16.52]  layover so a layover is a period of rest
[17:19.36]  or waiting before a further stage in a
[17:23.60]  journey and you could use a
[17:25.56]  layover when talking about any type of
[17:28.04]  travel whether it's planes or trains uh
[17:31.20]  it doesn't really matter you just have
[17:33.28]  this waiting period and then you
[17:34.84]  continue I think overwhelmingly people
[17:37.80]  use it when talking about flying now
[17:40.12]  some of you had put in stopover so there
[17:43.24]  is a difference between layover and
[17:46.04]  stopover and let's talk about that right
[17:48.36]  now layover versus stopover so the main
[17:51.20]  difference is that really just the
[17:54.32]  length of time so you can see right
[17:56.56]  there it says stopover rules vary by
[17:58.68]  Airline but are essentially longer
[18:02.28]  layovers at least 24 hours in length
[18:05.52]  layovers meanwhile are connections less
[18:07.84]  than a day in length depending on if
[18:10.04]  you're flying domestically or
[18:12.32]  internationally so generally I well I
[18:15.60]  think most of the time people are going
[18:17.32]  to have a layover if they are connecting
[18:20.72]  through you know one or more cities a
[18:24.56]  stopover is a longer period of time
[18:27.96]  sometimes think if you have a stopover
[18:29.80]  you may go into the city do some
[18:33.76]  sightseeing and then you come back to
[18:35.68]  the airport because it is longer it's a
[18:39.64]  day could be two days and some people
[18:41.96]  like to travel this way but just keep in
[18:43.80]  mind yes there is a slight difference
[18:46.64]  between layover and stopover most of the
[18:49.24]  time you're going to talk about layover
[18:51.12]  two-hour layover three- Hour 4 Hour 5
[18:53.28]  hour
[18:55.80]  layover so why when we were traveling we
[18:59.68]  were really tired we were really tired
[19:03.36]  especially because we were lugging
[19:05.52]  around several M
[19:09.80]  bags to to Lug something is you're
[19:13.68]  you're carrying something and it's kind
[19:15.52]  of difficult um and you would say you're
[19:19.00]  lugging this around a lot of times
[19:21.64]  people use this verb when talking about
[19:24.44]  suitcases cuz they're heavy so we were
[19:26.96]  really tired especially because we were
[19:28.56]  lugging around several M bags so I want
[19:32.64]  you to think you can see this bag right
[19:35.00]  here when you're
[19:37.24]  traveling what the bags that you take
[19:40.96]  with you what would you call those bags
[19:44.84]  kind of telling you right now what would
[19:48.20]  you call those
[19:49.44]  bags generally I think each person can
[19:53.68]  bring one some Airlines uh let you bring
[19:57.48]  more or it depends on the status you
[20:01.00]  have with the airline and I see a lot of
[20:03.92]  people know this one where I'm talking
[20:06.48]  about yes the carry-on bags so the
[20:08.88]  carryon bags the ones that you would
[20:10.48]  take with you on the plane we each had
[20:13.44]  one um my I had one my wife Emmy and we
[20:17.64]  also had three personal bags and also
[20:19.56]  traveling with Emmy it's a little
[20:21.00]  challenging so we were having to carry
[20:23.16]  her at certain points as well but a
[20:25.04]  carryon is the luggage that can be
[20:27.36]  brought on board plane and stowed in the
[20:30.20]  cabin you put these up in the overhead
[20:32.84]  compartment or the overhead bins your
[20:35.20]  carry-on bag well done all right and now
[20:39.72]  uh this one I think I saw this in the
[20:42.24]  chat before because of the time
[20:44.88]  difference we have
[20:47.68]  serious and this is I'm I have I feel
[20:51.44]  like this right now because it's it's 2
[20:55.00]  o'clock in the afternoon and I am
[20:56.84]  exhausted I could probably go to sleep
[20:59.36]  right now but I need to fight through it
[21:01.36]  stay up and try
[21:03.04]  to uh get used to the the time now
[21:06.96]  because there's a big time difference I
[21:09.12]  think nine hours between San Francisco
[21:11.84]  and Budapest and because of that right
[21:14.32]  now I have
[21:16.92]  yes jet lag great job uh Whitney
[21:23.40]  Sam Julia lar perfect so jet lag is
[21:28.08]  extreme tiredness could have other
[21:30.16]  physical effects felt by a person after
[21:33.08]  a long flight across different time
[21:35.92]  zones so we have like a 9h hour
[21:38.08]  difference this morning actually wasn't
[21:40.72]  too bad I woke up at I think 5:30 in the
[21:43.40]  morning hopefully tomorrow I don't know
[21:46.32]  I'm expecting I'll probably get up
[21:47.64]  around 4 or five we'll we'll see I'm
[21:49.68]  going to bed early but I'm going to try
[21:51.12]  to to stay up and hopefully this won't
[21:55.12]  last maybe more than a couple of days
[21:57.32]  few days we'll
[21:58.80]  see now uh Le let's talk about if you're
[22:02.64]  at the airport I'm going to show you a
[22:04.40]  picture and I just want you to tell me
[22:07.84]  what is it what are we looking at so
[22:11.28]  here's your first one I think these some
[22:13.52]  of these are easy some of them are a
[22:16.44]  little more difficult so at an
[22:21.04]  airport these are not carry-on bags you
[22:23.48]  might check your bag and it goes under
[22:26.56]  the plane um
[22:28.76]  or under the cabin and then you're going
[22:31.44]  to pick up the bag where where would you
[22:34.68]  go pick up this bag what would you call
[22:37.52]  that area these this is a phrase that
[22:40.64]  you will see on signs throughout the
[22:44.36]  airport if you are trying to pick up
[22:47.88]  your luggage now I heard a luggage
[22:50.32]  carousel that is what the this machine
[22:52.76]  this conveyor belt would be called what
[22:54.64]  would you call that area so that
[22:56.96]  conveyor belt would would be like yes a
[22:59.04]  luggage carousel but in general you're
[23:01.88]  going to ask somebody hey where is what
[23:05.76]  this part of the
[23:08.20]  airport so I said you would you're I
[23:10.72]  think uh you know luggage carousel that
[23:12.56]  works but I was looking for a kind of
[23:14.20]  that area nice uh we're talking about
[23:18.32]  baggage claim so baggage claim is the
[23:21.04]  the place in the airport where you get
[23:22.44]  your cases and bags when you arrive
[23:25.20]  after flying but in case you didn't know
[23:28.04]  that is that that where the bags go
[23:30.16]  around that is the luggage carousel but
[23:32.28]  you probably you'll see signs for
[23:34.64]  baggage claim how about this right
[23:38.36]  here what what would you call and I'm
[23:40.80]  specifically talking about the the light
[23:44.08]  blue I don't want to give it away
[23:47.40]  ramp uh what what would you call that
[23:50.36]  that you would use that either to board
[23:53.84]  the plane or disembark when you get off
[23:56.56]  the plane and you may use those I know I
[24:02.04]  definitely use them here when we fly in
[24:04.92]  and out of
[24:06.12]  Budapest but there are a couple
[24:08.20]  different words that you could use I
[24:11.36]  think it has a couple of different names
[24:14.84]  but what would you
[24:16.76]  say what is that right there write your
[24:19.44]  answer in the chat or even in the
[24:21.36]  comments I just want you to
[24:23.48]  participate get involved in the
[24:26.80]  lesson see some where's my passport I
[24:29.64]  don't know it's a good question I know I
[24:31.48]  have mine I made sure to really keep up
[24:34.12]  with that
[24:35.08]  yesterday
[24:36.68]  so this right here this this ramp that
[24:41.32]  passengers would use to either board the
[24:43.60]  plane or when they're disembarking you
[24:46.32]  could call that the gang way or the
[24:50.96]  jetway this walkway or platform that
[24:53.76]  provides safe access to the plane the
[24:57.24]  gang way way or the jetway so maybe this
[25:01.64]  I don't know if this is new for you
[25:03.36]  that's great uh if you learn something
[25:06.28]  new today that's all that I hope
[25:09.72]  for here's an easier
[25:12.12]  one that
[25:14.32]  uh that that that strip right here that
[25:17.52]  runs all the way from the bottom of the
[25:19.48]  picture all the way to the top what is
[25:22.16]  that called that you see the plane on
[25:24.64]  there it's getting ready to go down the
[25:28.00]  what I I think you guys know this but it
[25:30.84]  is another uh if we're at the airport
[25:33.72]  yes you you will see these if you're
[25:36.76]  flying on the plane the plane's going to
[25:38.68]  go down the the answer I'll just go
[25:42.36]  ahead and give it to you because I think
[25:43.60]  you guys know it is the runway well done
[25:47.32]  hardi Julia asai sum uh perfect so the
[25:52.40]  runway is the this hard level roadway
[25:55.68]  and other or other surface from which
[25:58.56]  the aircraft take off and on which they
[26:01.32]  land that is the runway
[26:04.32]  now something else that's well this may
[26:06.84]  be a little more difficult we'll see but
[26:10.44]  this picture right here what would you
[26:13.64]  call that the ground here so the runway
[26:18.20]  is where the plane goes and then it's
[26:20.04]  going to take off what about the ground
[26:22.76]  here in this picture so I'm not talking
[26:25.56]  about the terminal right there and the
[26:27.88]  gates and you can see those other
[26:29.88]  jetways that are go across and connect
[26:32.32]  to the airplanes talking about the
[26:34.84]  ground where these planes are
[26:39.60]  parked what would you call that this is
[26:42.04]  a little more difficult it's not a word
[26:44.52]  or phrase that you may need to know but
[26:48.88]  again the goal is to to learn something
[26:51.20]  new remember I'm not talking about the
[26:52.84]  terminal there the building that you see
[26:55.56]  I'm talking about the ground that paved
[26:59.60]  ground and there are actually couple of
[27:02.48]  different answers all right see good so
[27:05.64]  in
[27:06.48]  general well what I was I think what
[27:08.72]  it's commonly called especially in the
[27:11.56]  US even though it may not be is the
[27:15.52]  tarmac it's like the parking lot for
[27:18.20]  airplanes so this is the area of an
[27:19.96]  airport where airplanes taxi that is a
[27:22.60]  verb that you could use to taxi is when
[27:26.12]  the plane
[27:28.04]  it it starts to take off and the plane
[27:31.68]  is leaving from the gate going out to
[27:35.56]  the runway in order to take off so you
[27:37.92]  would call this the tarmac where think
[27:40.64]  of it as like I said the parking lot for
[27:43.00]  airplanes well done uh uh Vicky Gustaf
[27:48.08]  nice said taxi way I I think maybe that
[27:51.20]  would work I I haven't really heard that
[27:53.64]  much I feel like taxiing is used more as
[27:56.60]  a verb that the plane is getting ready
[27:58.96]  to taxi uh the one thing I wanted to say
[28:02.16]  because I heard saw one answer in there
[28:03.76]  ramp ramp would also work because this
[28:07.64]  part is also called um like the apron
[28:11.12]  the airport apron or the airport ramp
[28:14.64]  and something that you may or may not
[28:16.64]  know I actually didn't know this it says
[28:18.40]  an airport apron or ramp is sometimes
[28:22.40]  incorrectly referred to as the tarmac
[28:25.28]  which basically means any pave Serv
[28:28.32]  including the runway Landing Strip air
[28:30.64]  strip and taxi way oh there it is taxi
[28:33.04]  way all right the apron at airports
[28:36.24]  often paved uh the apron at airports are
[28:39.52]  often paved with concrete not tarmac so
[28:44.20]  even though it's called many people will
[28:46.36]  call it the tarmac I
[28:49.52]  would that the airport Aon mostly
[28:52.52]  concrete or asphalt tarmac it comes from
[28:57.12]  the
[28:58.12]  that there was
[28:59.36]  tar used uh in making that ground a lot
[29:04.32]  of the way the roadways um have it in
[29:06.60]  there I think it just makes it a little
[29:08.16]  more uh rain resistant so that's why it
[29:12.04]  says it's incorrectly referred to as the
[29:14.32]  tarmac because most of the time at the
[29:16.56]  airports they they don't use tar when
[29:19.48]  they are making those um
[29:23.96]  runways but again at this point like I
[29:27.60]  said most of the time people are going
[29:29.08]  to refer to that area that airport
[29:31.56]  parking lot as the tarmac okay so
[29:35.12]  hopefully uh this made sense personally
[29:37.52]  I've actually never used apron before
[29:40.20]  the airport apron I might say ramp um
[29:43.52]  and somebody else said mentioned taxi
[29:45.20]  way yes that works as well so here
[29:49.60]  is a little review these are the
[29:52.52]  different words and phrases that we were
[29:55.32]  talking about in this lesson
[29:58.60]  a lot of
[30:00.16]  different vocabulary all related to
[30:02.96]  flying again I said it's Advanced
[30:04.92]  vocabulary but if you are somebody who
[30:06.88]  flies often maybe it didn't feel too
[30:10.00]  advanced to you and I I completely
[30:12.56]  understand but I would like to know how
[30:15.24]  you did on the quiz so I started this
[30:17.40]  little poll I'm always curious to see
[30:19.80]  how you guys performed on this let it
[30:22.84]  lets me know if I should probably make
[30:24.28]  it a little more difficult or maybe even
[30:26.16]  a little easier in the future and if you
[30:28.92]  enjoyed the lesson and learned something
[30:30.92]  new I would really appreciate it if you
[30:33.96]  hit that like button uh it tells me that
[30:37.40]  uh you enjoy these interactive quiz well
[30:41.72]  not too many of you seems like uh just
[30:44.32]  by looking at the results not too many
[30:46.80]  of you rocked it uh and I some of these
[30:50.36]  were definitely a little more difficult
[30:52.48]  than others for example talking about
[30:54.44]  the gang way or the jetway or the tarmac
[30:57.76]  uh or the galley the part of the plane
[31:00.40]  th those can be a little more
[31:02.28]  challenging but in general seems like a
[31:05.28]  lot of you did really well I really
[31:08.64]  appreciate you guys being uh here with
[31:11.52]  me
[31:12.60]  today I apologize for the
[31:15.88]  inconsistencies with the days and the
[31:17.80]  times it's only because of the travel
[31:20.76]  and in the coming weeks we're going to
[31:23.04]  get back to the the regular Wednesday
[31:25.40]  lessons I don't know if we'll do it next
[31:27.32]  week I may have it Thursday just to
[31:29.68]  space things out we'll see but I'll make
[31:31.68]  an announcement and let you guys know
[31:34.60]  but I hope that you enjoyed the lesson
[31:37.56]  learned something new and of course I
[31:40.68]  will see you guys again in the future
[31:43.44]  thank you for joining me just some last
[31:45.52]  minute shout outs Vicky Gustav great to
[31:47.60]  see you uh
[31:49.40]  SSI uh nice tal Julia Sam Angela Cly
[31:58.04]  thank you uh hope you guys enjoy the
[32:02.12]  upcoming weekend and of course I will
[32:05.40]  see you again
