Title     : Stop Translating in Your Head ❌  | Start Thinking in English ✅
Video ID  : C1BguLyBieA
[02:07.04]  computers we can surround ourself with
[02:09.84]  any language no matter where we are in
[02:12.08]  the world and I think it's especially
[02:13.88]  easy with English so in in general what
[02:17.48]  am I talking about I'm talking about
[02:19.60]  getting more daily practice with the
[02:22.20]  primary language skills more reading
[02:25.04]  speaking listening writing to be
[02:27.60]  specific what are some things that you
[02:29.44]  can do that maybe maybe you're not doing
[02:31.84]  them right now when you wake up in the
[02:34.00]  morning instead of waking up to an
[02:36.16]  annoying alarm sound wake up listening
[02:38.92]  to music in English before you go to bed
[02:41.60]  at night if you're like me I tend to
[02:43.84]  look at my phone and I may read an
[02:46.04]  article online you can read an article
[02:48.40]  in English you're watching YouTube
[02:50.32]  videos if you turn on those subtitles
[02:53.12]  turn them on in English if you're taking
[02:55.64]  a class online the whole lesson should
[02:58.80]  be in English and again you you do not
[03:01.84]  have to go to an English-speaking
[03:03.76]  country for this to happen you can do
[03:05.92]  this no matter where you are in the
[03:07.80]  world before we continue I'd like to
[03:09.76]  take a moment to thank the sponsor of
[03:11.56]  today's lesson which is lingoda and this
[03:14.72]  really ties in to what I'm talking about
[03:17.36]  with that English bubble and getting
[03:19.36]  that daily practice because lingoda is
[03:21.80]  getting ready to start another language
[03:23.88]  Sprint so the language Sprint is a great
[03:25.68]  opportunity for you to really challenge
[03:27.44]  yourself and practice each day for 3
[03:29.52]  months and and really move the needle
[03:31.96]  when it comes to achieving your fluency
[03:33.96]  goals and the the one thing that I
[03:36.04]  really love about the language print is
[03:37.56]  that if you attend all your classes you
[03:39.92]  can get up to 100% cash back and there
[03:43.48]  have been many people who have achieved
[03:45.76]  this success and really taken their
[03:47.52]  English to the next level and I think
[03:49.48]  you can be one of those people as well
[03:51.72]  now when it comes to the language Sprint
[03:53.28]  you have two choices you can take the
[03:55.12]  Super Sprint in which you'll take 30
[03:57.20]  classes a month for three months if you
[03:59.36]  success F complete that then you can get
[04:01.68]  100% cash back or you can take the
[04:04.44]  Sprint in which you'll take 15 classes a
[04:07.04]  month for 3 months if you successfully
[04:09.32]  complete that you can get 50% cash back
[04:12.04]  both plans require a 49 deposit and then
[04:14.96]  you will pay for the classes in thre
[04:16.88]  monthly installments now you must sign
[04:18.96]  up for the language print by October
[04:20.48]  15th because it's going to begin on
[04:22.60]  October 31st I can honestly tell you
[04:25.12]  lingoda is a great place for learning a
[04:27.32]  language I have even studied with them
[04:29.20]  you can see me there taking a lesson in
[04:31.52]  Spanish and I had a great experience
[04:33.48]  because well these are small group
[04:35.04]  classes they have professional teachers
[04:37.32]  they have flexible learning hours and an
[04:39.76]  interactive curriculum so if you are
[04:41.96]  motivated and you're ready to surround
[04:43.92]  yourself with English as well as become
[04:46.56]  the next language Sprint Champion then
[04:49.00]  click on the link in the description and
[04:51.00]  when you sign up you can use the voucher
[04:53.24]  code champ 7 to get a 20 discount so
[04:56.96]  click on that link down in the
[04:58.32]  description if you would like to join
[05:00.12]  the language Sprint or learn more about
[05:02.12]  it always be sure to read those terms
[05:04.24]  and conditions don't forget to use that
[05:06.72]  voucher code champ 7 to get your 20
[05:09.56]  discount and then and then really just
[05:11.36]  surround yourself with English which is
[05:14.12]  going to help you reach your fluency
[05:16.16]  goals now let's get back to the lesson
[05:18.08]  to help you stop translating and start
[05:20.20]  thinking in English and I want to talk
[05:22.08]  to you about a few more things that I
[05:23.68]  want you to do today and the next thing
[05:25.96]  that I want you to do is to keep your
[05:28.12]  learning routines in English I I
[05:31.16]  understand if you're a beginner that
[05:33.44]  it's normal to learn English using your
[05:36.92]  native language it it maybe builds a
[05:39.32]  little more confidence it helps you more
[05:41.48]  easily comprehend what you're learning
[05:43.80]  but as you become intermediate Advanced
[05:46.28]  and you try to work your way toward
[05:48.36]  fluency your learning should be entirely
[05:51.32]  in English because well well when you're
[05:53.96]  learning it's it's natural for your
[05:56.00]  brain to switch back and forth between
[05:58.52]  English and your nebor ative language
[06:00.60]  the goal is for this to happen less
[06:02.68]  often and when you keep your learning
[06:04.76]  routines in English that's the result so
[06:08.40]  once again it comes back to developing
[06:10.76]  those positive learning habits if you're
[06:12.96]  learning grammar rules then you should
[06:15.08]  learn those rules in English if you are
[06:17.80]  taking an online class the entire lesson
[06:20.16]  should be in English and then there's
[06:22.12]  one thing that I definitely want you to
[06:24.32]  do starting today from now on when you
[06:27.72]  look up a new word or phrase new
[06:30.24]  vocabulary I want you to use an English
[06:33.44]  dictionary there are many online
[06:35.40]  dictionaries that when you look up the
[06:37.36]  meaning it uses simple easy words they
[06:40.40]  make it very easy for you to understand
[06:42.88]  I like to use Cambridge you could also
[06:46.04]  uh read example sentences so that you
[06:48.36]  can better understand the context in
[06:50.52]  which these words are used you can also
[06:53.12]  see if there are other words in the word
[06:55.44]  family how is the word used as an
[06:57.56]  adjective as a noun so that's something
[06:59.96]  that I definitely want you to do if
[07:01.60]  you're not doing it already when you
[07:03.60]  learn new vocabulary Look up the meaning
[07:06.56]  using an English dictionary now speaking
[07:09.28]  of vocabulary that that is an excellent
[07:11.16]  segue into the next thing that I want
[07:13.28]  you to do which is we are going to
[07:15.20]  change the way you are learning new
[07:17.44]  vocabulary and again we're going to keep
[07:19.80]  building those positive learning habits
[07:22.20]  and I I want you to just put away your
[07:24.20]  translator if you have a translator just
[07:26.44]  just put it away you do not need it in
[07:28.64]  order to express yourself I know as a
[07:31.08]  beginner it's a quick and easy solution
[07:33.56]  but the goal is not to stay at the level
[07:36.04]  of a beginner you want to improve and
[07:39.04]  when you're constantly translating it's
[07:41.80]  really it's really going to delay your
[07:43.84]  learning it's not as meaningful and
[07:45.88]  you're likely to forget so as I
[07:48.56]  mentioned I want you to start looking up
[07:51.28]  new words using an English dictionary
[07:54.00]  and as you learn the meaning of these
[07:55.80]  new words and you feel comfortable that
[07:58.32]  you understand maybe how the word is
[08:00.96]  used I then want you to make a word
[08:04.16]  association because that way it it
[08:06.40]  becomes more meaningful and you're more
[08:08.76]  likely to remember the meaning as well
[08:10.76]  as put that word up here in your active
[08:13.40]  memory so when you make a word
[08:15.92]  association you're you're basically
[08:17.84]  you're taking a word and you are
[08:19.76]  connecting it with a a person or thing
[08:22.92]  it's like you're able to then put a
[08:24.64]  picture in your mind and there there
[08:26.92]  have been many studies about how useful
[08:29.68]  word association is when it comes to
[08:32.08]  language acquisition and this is really
[08:34.40]  how we acquire our native language we
[08:36.64]  learn a new word and then we put that
[08:38.72]  picture in our mind so if I say blue
[08:41.60]  bear all right you you can probably put
[08:44.56]  a picture in your mind maybe it looks
[08:46.88]  something like this this is one of my
[08:48.96]  daughter's favorite toys but I think one
[08:51.12]  of the challenges is with a more
[08:53.00]  advanced vocabulary that that might be a
[08:55.60]  little more abstract and there's not
[08:57.32]  just a clear picture that you can think
[08:59.20]  of but still in that case you can you
[09:01.84]  can associate it perhaps with a person
[09:04.52]  so if you learn an adjective like Frugal
[09:07.56]  it means somebody who does not like to
[09:10.04]  spend a lot of money they're very
[09:11.76]  careful with their money well I I am
[09:14.52]  Frugal you can think of me or if you
[09:17.32]  learn an expression like glass half full
[09:20.64]  it it describes somebody who's very
[09:22.56]  hopeful or optimistic and the same way
[09:25.04]  that glass half empty describes somebody
[09:27.68]  who's pessimistic so I could ask you
[09:30.20]  what kind of person are you are you a
[09:32.44]  glass half full type of person or a
[09:34.56]  glass half empty type of person let me
[09:37.48]  know down in the comments and it it
[09:40.08]  doesn't always have to be a a word
[09:42.32]  association with other people recently I
[09:45.28]  I did a lesson talking about earthquakes
[09:47.88]  and some words that you would often hear
[09:50.72]  when when talking about this and one of
[09:53.40]  the adjectives was devastating and this
[09:56.16]  is actually an adjective that is pretty
[09:58.44]  common when you're talking about any
[10:00.08]  natural disaster so this is a change
[10:02.40]  that I definitely want you to make and
[10:05.12]  at anytime you learn a new vocabulary
[10:07.64]  word or phrase make a word association
[10:11.20]  because it's just going to help you
[10:13.32]  retain that vocabulary which then means
[10:16.12]  when when you're trying to think about
[10:17.88]  something in English you you have all
[10:20.68]  those words at your disposal and your
[10:22.96]  brain's not going to be switching back
[10:24.96]  and forth as much to your native
[10:26.88]  language you're going to be able to keep
[10:28.44]  it in English mode which is what I want
[10:30.72]  you to do something I also want you to
[10:32.80]  do is to start automating your responses
[10:35.88]  and well think of autotype when you're
[10:38.40]  you're typing something and then it goes
[10:40.40]  ahead and fills in what what you might
[10:42.72]  be trying to write if you use Gmail they
[10:45.72]  have something called autoc compose it
[10:47.92]  helps you write emails faster because
[10:50.40]  they're making suggestions and and you
[10:52.40]  can do the same thing with your speech
[10:54.88]  and in that case you're not really even
[10:57.60]  you're not really translating you're not
[10:59.04]  even really having to think somebody's
[11:01.36]  just saying something to you and you
[11:03.12]  respond immediately without thinking
[11:05.52]  about it and there is no translation so
[11:08.68]  how should you do this I think you
[11:10.24]  should start with common well questions
[11:13.12]  that somebody may ask you um if you meet
[11:15.88]  somebody and they say what do you do for
[11:17.48]  a living you should be able to give a
[11:19.56]  response quickly easily naturally and
[11:22.64]  talk about this because you've done it
[11:24.76]  several times before so this is a great
[11:27.16]  example of a question somebody could ask
[11:29.36]  you and then you give that autor
[11:30.96]  response you could also use partial
[11:33.92]  autor responses so a question like where
[11:37.44]  are you going you could say I'm going to
[11:39.68]  go and then fill in the rest and you're
[11:42.40]  using that reduction gonna I'm going to
[11:44.88]  go I'm going to go shopping I'm going to
[11:46.92]  go to the bakery I'm going to go to the
[11:48.28]  park and then you can fill in the rest
[11:50.68]  with well whatever is happening at that
[11:52.84]  moment wherever you may be going so this
[11:55.44]  this is useful when you're having a
[11:56.80]  conversation and you can just respond
[11:58.80]  immediately you're not having to
[12:00.32]  translate you you really don't even need
[12:02.24]  to think that much and you give a quick
[12:04.72]  response there are no awkward pauses
[12:06.88]  which is which is how a conversation
[12:08.72]  should be now I I know I said there's
[12:10.92]  not much thinking with these automated
[12:13.00]  responses so let's talk about thinking
[12:15.52]  right now and one thing that I want you
[12:17.56]  to do is I want you to turn thinking
[12:20.28]  into Active Learning and when I say
[12:22.76]  active learning it it just means that
[12:24.56]  you're required to do something so in
[12:26.84]  this case you're required to think I
[12:29.24]  want you to make yourself think in
[12:31.76]  English so if you have like 5 or 10
[12:34.88]  minutes during the day maybe when you're
[12:37.36]  you're not doing much you're brushing
[12:38.68]  your teeth you're you're making dinner
[12:40.44]  you're riding the bus to work I want you
[12:43.24]  to take some of that time and say all
[12:45.40]  right I'm going to make myself think in
[12:48.20]  English whatever you see however you
[12:50.48]  feel you're going to be thinking about
[12:52.88]  it in English and see how long you can
[12:55.44]  do that before your brain switches back
[12:58.04]  over to your native language this is
[13:00.56]  something that I want you to do and I
[13:02.24]  want you to do it for homework that's
[13:03.72]  right I'm going to give you some
[13:04.76]  homework in this lesson today I want you
[13:07.92]  to take 10 minutes and just think in
[13:11.08]  English and tell yourself okay for the
[13:12.84]  next 10 minutes I'm just going to think
[13:14.88]  entirely in English and I want you to
[13:17.52]  let me know how it goes down in the
[13:19.44]  comments were you able to do this for a
[13:21.72]  few minutes or 10 minutes or even longer
[13:24.72]  before your brain switch back to your
[13:27.28]  native language the longer you you can
[13:29.44]  do this then I think that is an
[13:31.04]  excellent sign so starting today I want
[13:34.72]  you to to do those five things that we
[13:37.20]  talked about in this lesson you're going
[13:39.20]  to create an English bubble you're going
[13:41.20]  to keep your learning routines in
[13:43.20]  English you're going to change the way
[13:44.76]  you learn new vocabulary you're going to
[13:46.76]  start automating some of those responses
[13:49.28]  and you're going to turn thinking into
[13:51.48]  Active Learning and when you do this
[13:54.12]  tomorrow the next week the next month
[13:56.40]  the next year you will be translating
[13:59.28]  less and you'll be thinking more in
[14:01.88]  English which is the ultimate goal I
[14:04.84]  hope you enjoyed the lesson if you did
[14:06.80]  please hit that like button as always
[14:09.80]  thank you so much for watching and I
[14:11.60]  will see you next time Soo
