Title     : What's the most difficult language skill to learn?  | Natural Conversation + Vocabulary
Video ID  : ZBqGjxfiwvU
[05:05.56]  whether I'm learning Spanish or Korean
[05:07.52]  or right now trying to learn Romanian,
[05:11.08]  listening is always a challenge. Mhm.
[05:13.44]  What about you?
[05:14.96]  Well, now that I think about it, it's
[05:16.08]  speaking, of course. I don't find
[05:18.40]  listening difficult. In fact, and I
[05:20.12]  think the reason I don't is because I
[05:21.40]  really like listening. I like and this
[05:23.68]  is just just my personality in any
[05:25.52]  language, I think. I like listening to
[05:27.76]  people's stories. I like listening to
[05:31.48]  to eavesdrop, you know, like if if
[05:33.36]  there's like a random conversation.
[05:35.44]  about speaking. Why is the speaking
[05:36.88]  difficult? So, I know we're talking
[05:39.44]  about speaking, but I'm trying to
[05:40.72]  explain like why listening isn't hard
[05:42.40]  for me because I I just I just I just I
[05:44.24]  just I just
[05:45.24]  No. Well, I have a hard time with
[05:47.28]  speaking, so I don't think I think it's
[05:49.12]  worse. Um Plus, I think I'm a little bit
[05:52.44]  more reserved as a person, so I'm not
[05:54.84]  very
[05:56.40]  um
[05:57.68]  like outgoing or anything, so I don't
[06:00.12]  I'm not very confident, so I think
[06:02.16]  that's a big part of it. That's a huge
[06:03.64]  part of speaking. When you speak, you
[06:04.92]  have to be confident in what you say.
[06:06.76]  And even though I know what I'm going to
[06:08.12]  say, somehow if I speak with somebody
[06:09.72]  who's a native speaker, like all of
[06:11.72]  these doubts come in my head and I'm
[06:13.44]  like,
[06:14.52]  I'm just going to shut up.
[06:15.36]  I think if somebody's, yeah, a bit more
[06:17.40]  a bit more reserved, it becomes an
[06:19.32]  additional challenge to try and
[06:22.40]  speak another language and and go ahead
[06:24.88]  and start talking without worrying about
[06:26.88]  whether you're saying things correctly
[06:28.52]  or not. Right. So, that's why I think
[06:30.52]  speaking is harder for me. Reading, I
[06:32.56]  think, is is usually like
[06:35.44]  it's not as it's
[06:37.48]  a little bit difficult.
[06:38.48]  going to go through all the language
[06:39.60]  skills right now?
[06:40.44]  Yeah, I thought we were ranking them.
[06:41.56]  No, I'm just kidding. Yeah, so speaking
[06:43.84]  is hard.
[06:44.32]  So, now we want to hear from you guys
[06:47.64]  and in the comments let us know what
[06:49.88]  language skill do you think is the most
[06:52.28]  difficult, not just with English, but
[06:54.28]  really when you're learning any other
[06:55.96]  language, reading, writing, speaking,
[06:58.60]  listening, grammar. Yeah, what let us
[07:01.20]  know what you think is the most
[07:03.28]  difficult. If you enjoyed our
[07:05.40]  conversation, hit that like button and
[07:08.44]  as always thanks for watching and we'll
[07:10.20]  see you next time.
[07:13.44]  Whatever it was what I was going to say.
[07:16.04]  Um You're talking about listening.
[07:18.36]  Listening is difficult for you. I've
[07:19.80]  already lost focus.
