Title     : Why English is SO hard to learn? | + Lesson  Notes
Video ID  : J2YDI1lpYOw
[05:16.24]  not often going to hear the word refuse.
[05:19.04]  People would just say trash or garbage.
[05:21.76]  But again, hopefully that some of these
[05:23.52]  words are new uh for you as we go
[05:26.00]  through them. Here's the next sentence.
[05:28.40]  I want you to say it out loud.
[05:35.20]  All right. We must polish the Polish
[05:39.20]  furniture show shown at the store.
[05:43.52]  We must polish the Polish furniture
[05:46.48]  shown at the store.
[05:49.12]  Polish.
[05:50.88]  Polish.
[05:52.80]  So polish, you're talking about rubbing
[05:55.84]  something. All right. Stress is on the
[05:58.24]  first syllable. And again, this is a
[06:00.56]  verb, which is why I said generally
[06:02.32]  speaking, verbs have that stress on the
[06:04.24]  second syllable. Polish is talking about
[06:08.40]  things related to the country, Poland,
[06:11.44]  the people, the language. In this case,
[06:13.68]  we're using it as an adjective talking
[06:16.24]  about the furniture, the Polish
[06:18.00]  furniture. But once again, the stress is
[06:20.88]  on that first syllable. Polish. Polish.
[06:25.68]  Then here's another one. Again, I want
[06:28.48]  you to keep speaking.
[06:33.84]  How would you say this one?
[06:39.28]  He could lead if he could get the lead
[06:42.16]  out.
[06:45.76]  He could lead if he could get the lead
[06:49.20]  out. Lead led. So lead. I think people
[06:54.80]  hear words like leader. Somebody is
[06:57.12]  going to lead. you're going to control
[07:00.56]  uh some situation, a group of people.
[07:03.36]  And lead is referring to the the
[07:06.80]  element, this very heavy, it's gray le.
[07:12.00]  And this is again where where spelling
[07:14.72]  and pronunciation, it can get a little
[07:16.88]  confusing. Lead le. I've also tried to
[07:19.84]  underline an idiom, get the lead out. If
[07:23.60]  you haven't heard of this idiom, if
[07:25.44]  somebody tells you to get the let out,
[07:28.32]  it means that you need to move or work
[07:30.96]  quickly. So perhaps you're working on a
[07:33.44]  team, you're behind schedule, and you
[07:35.60]  say, "All right, everyone, we really
[07:37.04]  need to get the let out and we need to
[07:39.28]  work quickly. We need to move quickly.
[07:41.28]  We need to get the let out." All right.
[07:44.00]  If you are participating in these
[07:46.24]  lessons, let me know. Write the word
[07:48.32]  speaking so I know that you're
[07:50.64]  practicing. You're saying these
[07:52.24]  sentences out loud, which is what this
[07:54.24]  is all about. Just getting getting a
[07:56.08]  little speaking practice.
[07:58.56]  I'm I'm I'm really I'm listening. All
[08:00.64]  right. So, here's the next one. Again, I
[08:03.20]  want you to say it out loud.
[08:12.16]  All right. So, I would say the soldier
[08:16.08]  decided to dessert his tasty dessert in
[08:20.80]  the desert.
[08:22.96]  The soldier decided to dessert his tasty
[08:26.40]  No, the the soldier decided to dessert
[08:29.84]  his tasty dessert in the desert.
[08:32.80]  Okay, so
[08:34.88]  this is
[08:36.88]  there are a few things. you have the the
[08:39.20]  heteron desert, in which case you're
[08:42.48]  you're leaving someone or something.
[08:44.88]  You're deserting.
[08:46.88]  And the one at the bottom, the noun, the
[08:50.24]  desert. Okay, the noun stress is on the
[08:53.20]  first syllable. It's an area covered
[08:55.28]  with rocks, sand, and you can see in
[08:57.84]  that picture, that is a picture of the
[08:59.60]  desert. Once again, these heteron follow
[09:02.88]  that stress rule. The verb, the stress
[09:05.60]  is on the second syllable. dessert
[09:09.04]  uh and to desert and the noun stresses
[09:11.84]  on the first syllable, desert. Now, I I
[09:14.80]  highlighted that other word as well
[09:16.56]  because that would just be an example of
[09:18.24]  a homonym. These are words that have the
[09:21.12]  same sound when talking about your tasty
[09:24.64]  dessert, cake, cookies, um you know, a
[09:29.12]  lot of chocolate. You could have that
[09:30.56]  for dessert. And then once again, the
[09:32.48]  stress is on that second syllable. All
[09:35.52]  right. Excellent. Um, all right people
[09:38.64]  speaking. Love it. Vida, Vicky, Gustav,
[09:42.32]  um, Zenat. Perfect. Again, this is all
[09:45.52]  about getting just a little bit of
[09:47.04]  speaking practice when it comes to well,
[09:50.64]  words that can be challenging to
[09:52.96]  pronounce.
[09:54.56]  So, here's the next one. It's also going
[09:57.20]  to follow that syllable stress rule.
[10:01.60]  How would you say this?
[10:11.52]  You see one word in there quite a few
[10:14.40]  [laughter] times. Three times. Oh. Oh, I
[10:17.36]  would say, well, since there's no time
[10:19.04]  like the present, he thought it was a He
[10:21.60]  thought it was time to present the
[10:23.36]  present to his girlfriend. I'll say it
[10:25.60]  one more time. Since there is no time
[10:27.68]  like the present, he thought it was time
[10:30.40]  to present the present to his
[10:33.36]  girlfriend. So present, the noun has
[10:37.04]  multiple meanings. Again, stress is on
[10:39.76]  that first syllable. The present up here
[10:42.88]  talking about well, right now, it's a
[10:44.88]  moment in time. It also means down here
[10:48.00]  like a gift that somebody may well give
[10:51.52]  to you. You they give you a birthday
[10:54.72]  present.
[10:56.00]  That's different than the verb to
[10:57.84]  present, in which case you hear that
[11:00.32]  stress on the second syllable. You're
[11:02.48]  presenting something. You're providing
[11:04.72]  information. And I think all three of
[11:07.28]  these words are are commonly used.
[11:10.48]  Here's the next one.
[11:12.80]  This one may be a little confusing, but
[11:14.64]  I want you to say it out loud.
[11:22.56]  I hope that you said
[11:25.84]  a bass was painted on the head of the
[11:29.04]  bass drum.
[11:31.76]  Let's say it together again. A bass was
[11:35.04]  painted on the head of the bass drum.
[11:39.52]  Bass is referring to the fish that you
[11:42.88]  would find in a river, a bass, which is
[11:46.48]  different than referring to the the
[11:49.20]  instrument or well, even playing,
[11:52.08]  singing, that low range of musical
[11:55.04]  notes, bass. So, in this case, we're
[11:58.00]  using it as an adjective, talking about
[11:59.76]  the bass drum. But you could say
[12:01.76]  somebody plays bass in the band. But
[12:04.80]  again, just don't confuse those two uh
[12:07.76]  pronunciations. Bass base. Here we go.
[12:12.08]  All right. I want you to say this one
[12:14.32]  out loud.
[12:20.64]  I hope you said when shot at, the dove
[12:24.56]  dove into the bushes.
[12:29.44]  When shot at, the dove dove into the
[12:33.36]  bushes. So we have one right after the
[12:36.64]  other. Dove dove. So dove with that
[12:41.76]  schwa sound, that uh sound. Dove. It
[12:45.20]  It's referring to the bird. You can see
[12:47.04]  the bird over there in the corner. That
[12:49.04]  is a dove. The white bird. Dove is
[12:51.84]  referring to the past simple of the verb
[12:54.56]  dive. Dove. Dove. like you dove into the
[12:59.04]  swimming pool.
[13:01.12]  Then we have
[13:04.40]  another one. Think about that syllable
[13:06.32]  stress. Say it out loud.
[13:13.76]  All right. Now, I want you to say it
[13:14.96]  with me. I did not object to the object
[13:19.12]  which he showed me.
[13:23.92]  One more time. I did I did not object to
[13:27.60]  the object which he showed me.
[13:31.52]  This is good speaking practice working
[13:33.68]  on that syllable stressed. So, I did not
[13:37.20]  object. We're talking about the verb.
[13:39.68]  You see the stress on that second
[13:41.60]  syllable. You're expressing opposition.
[13:44.72]  All right. I did not object to the
[13:47.60]  object. The object, the stress is on
[13:50.96]  that first syllable now that it's a
[13:52.72]  noun. It's just anything that you can
[13:55.12]  touch or see. An object to object to the
[13:59.12]  object which he showed me. Once again,
[14:02.48]  good practice. Say these sentences out
[14:04.32]  loud. Work on that that syllable stress.
[14:07.52]  This is all about fine-tuning your
[14:10.24]  pronunciation.
[14:11.76]  And remember, if you want to get a copy
[14:13.20]  of these lesson notes, check out the
[14:15.04]  link down in the description or the
[14:17.04]  pinned uh uh comment that's in the chat.
[14:21.60]  Try this one.
[14:29.84]  I would I would say the insurance was
[14:32.80]  invalid for the invalid in his hospital
[14:36.32]  bed.
[14:37.84]  Let's say it one more time. This maybe
[14:39.84]  one of these may be a new word for you.
[14:42.00]  The invalid.
[14:44.48]  The insurance was invalid for the
[14:47.28]  invalid in his hospital bed. Invalid is
[14:52.72]  I think it's a more common word. If
[14:54.88]  something is invalid, it's referring to
[14:58.00]  a document or something that's just not
[15:01.36]  legally acceptable. Like you present a
[15:04.48]  document, they say, "Well, no, this this
[15:06.40]  is invalid." All right, we can't accept
[15:08.40]  this. It's invalid.
[15:10.64]  Now, invalid. The stress is on that
[15:13.84]  first syllable. That second syllable has
[15:16.32]  that schwa sound. So invalid.
[15:19.68]  Invalid it just would refer to somebody
[15:22.64]  who is sick and they're unable to take
[15:25.92]  care of themselves. It is more uh you
[15:29.84]  know of a derogatory word that you would
[15:33.36]  use. Not that common to say somebody's
[15:36.32]  an invalid. Um but again a great example
[15:40.16]  of a heteron.
[15:42.48]  Let's try this one. Say this one out
[15:44.48]  loud first and then I'll say it. This
[15:46.40]  one may be challenging.
[15:53.68]  I would say
[15:56.08]  there was a row among the oresmen about
[15:59.44]  who would row.
[16:02.80]  Say it one more time with me. There was
[16:05.84]  a row among the oresmen about who would
[16:09.84]  row.
[16:11.92]  Row. Row. So, if you're talking about up
[16:16.88]  top there, a row, it's uh a noun. It
[16:20.88]  just refers to a noisy argument or fight
[16:24.00]  and say somebody had a row. It's a word
[16:27.04]  that you may not hear that often, but it
[16:29.36]  may come up from time to time. A row.
[16:32.48]  And I think probably when you see this
[16:35.12]  word, the pronunciation that many people
[16:37.84]  think about would be row, the activity.
[16:40.64]  You're rowing a boat. You're using the
[16:43.28]  ores to row row row.
[16:47.68]  So, row row. Keep that one in mind.
[16:51.36]  Here's another one. I want you to again
[16:53.76]  say this one out loud. This these are
[16:55.52]  very common words.
[17:02.16]  They were too close to the door to close
[17:04.88]  it.
[17:07.04]  Let's say it together.
[17:09.20]  They were too close to the door to close
[17:12.24]  it.
[17:14.00]  And I think this sentence maybe you
[17:16.80]  didn't have as much trouble with because
[17:20.48]  uh these words are very common. You're
[17:22.64]  close to something or someone. You're
[17:25.20]  not far. You're talking about the
[17:26.88]  position either physically or in time.
[17:30.80]  Close. It's getting close to uh my
[17:34.88]  birthday or something which is not true.
[17:36.72]  My birthday is in November. It's far
[17:38.16]  out. Uh, but to close something, the
[17:42.00]  verb, you're talking about opening and
[17:44.88]  then shutting it. You're closing the
[17:47.12]  door.
[17:48.72]  Close. Close.
[17:52.00]  Great words to know because they are
[17:54.16]  commonly used. Close. Close. Here's
[17:56.96]  another one. All right.
[17:59.60]  This one again maybe a little tricky,
[18:01.68]  but I want you to say it out loud.
[18:09.44]  All right. The buck does many things
[18:13.12]  when the doe's, the females are present.
[18:17.04]  There's that word present again. The
[18:19.36]  Let's say it again together. The buck
[18:22.40]  does many things when the doe's are
[18:26.08]  present.
[18:28.24]  So, the buck does, we're talking about
[18:31.04]  the verb to do, but this is the singular
[18:36.08]  um third person like the buck does
[18:39.92]  performing an action. Very common verb.
[18:43.28]  Now, the other doze is just referring to
[18:48.96]  a female deer. Doze. You hear that long
[18:52.72]  o sound? Doze.
[18:55.44]  So if somebody you're out hiking and
[18:57.92]  somebody says, "Oh, there's a dough."
[19:00.56]  They're talking about there's a female
[19:02.40]  deer. In this situation, many times
[19:05.28]  instead of specifying whether it's male
[19:07.60]  or female, a lot of people of course
[19:09.84]  would just talk about a deer, they see a
[19:12.16]  deer. But once again, I told you I think
[19:14.56]  some of these words are new and it can
[19:16.72]  also be a good way to build your
[19:18.32]  vocabulary a little bit. Another one.
[19:24.64]  I want you to say it out loud
[19:30.80]  now. Let's say it together. A seamstress
[19:35.04]  and a A seamstress and a sewer fell down
[19:39.28]  into a sewer line.
[19:43.52]  A seamstress and a sewer fell down into
[19:47.28]  a sewer line.
[19:50.24]  Sewer. Sewer. Sewer is a well a person
[19:55.44]  who sews. We're talking about that
[19:57.84]  activity. You sew something like
[20:00.16]  clothes. Uh you can see that picture in
[20:02.72]  the background a little bit. It's a
[20:04.64]  sewing machine. Stress is on that first
[20:07.04]  syllable with the long O. That's
[20:08.96]  different than that short vowel sound.
[20:12.16]  Sue. Sewer. Sewer is referring to the
[20:16.40]  underground pipes network that would
[20:19.68]  carry away waste. The sewer. Sewer.
[20:23.20]  Sewer. Give this one a try.
[20:31.68]  Say this one out loud [clears throat]
[20:37.92]  then with me. Say it with me. To help
[20:40.00]  with planting, the farmer taught his SA
[20:44.00]  to sew.
[20:47.68]  To help with planting, the farmer taught
[20:50.72]  his SA to sew.
[20:53.84]  So, the first one, SA, is talking about
[20:57.36]  an adult female pig.
[21:00.23]  [cough] Sorry about [clears throat]
[21:01.12]  that. Again, not a word that you're
[21:03.68]  going to end up using in just everyday
[21:05.76]  English. If you want to talk about an
[21:07.52]  animal, people are mostly just going to
[21:09.68]  talk about um uh a pig and not really
[21:13.68]  refer to whether it's male or female.
[21:16.32]  But to sew, in this case, to sew again
[21:19.76]  with that long o sound, we're talking
[21:21.44]  about putting seeds in the ground so
[21:23.68]  that plants will grow. Again, let me
[21:26.24]  know, write speaking in the chat if you
[21:29.52]  guys if you're participating and
[21:31.44]  actually saying these sentences out
[21:33.68]  loud. That's what it's all about. It's
[21:35.68]  good just to voice these words and
[21:37.84]  practice saying them. That's what that's
[21:40.16]  what's really, I think, going to help
[21:41.68]  you internalize this information. Um,
[21:45.92]  oh, true. Vickiy's birthday Saturday.
[21:47.68]  Wow, that is close. Happy birthday,
[21:51.28]  Vicki on Saturday. Upcoming. Nice.
[21:54.60]  [sighs]
[21:55.36]  Here uh is the next sentence again.
[21:59.60]  Say it out loud.
[22:05.60]  And then say it with me. The wind was
[22:08.48]  too strong to wind the sail around the
[22:12.32]  mast.
[22:15.52]  One more time. The wind was too strong
[22:20.16]  to wind the sail around the mast. These
[22:24.08]  were the first two examples that I gave
[22:26.56]  you. Wind as a heteron. The wind, we're
[22:30.40]  talking about the air was too strong to
[22:33.68]  wind. Again, that verb, you're turning
[22:37.20]  something to wind the sail around the
[22:39.92]  mass. I've also, again, I'm giving you
[22:42.16]  the the phonetic spelling as well as the
[22:44.96]  IPA so you can see the pronunciation and
[22:48.48]  hopefully get a better understanding as
[22:50.96]  to how these words are pronounced.
[22:54.56]  Here's
[22:56.40]  another. I'll let you go first.
[23:04.40]  And then I would say, upon seeing the
[23:07.28]  tear in her painting, she shed a tear.
[23:12.56]  Let's say it together.
[23:15.04]  Upon seeing the tear in her painting,
[23:18.48]  she said it she shed a tear.
[23:22.96]  Tear. Tear. And these are words that uh
[23:27.12]  you may come across and that you may use
[23:29.44]  to tear something you have. They're
[23:32.56]  talking about a hole that will generally
[23:35.68]  or ripping uh a piece of paper or cloth.
[23:39.84]  Something has a tear in it. And then
[23:42.96]  tear it would be, you know, referring to
[23:46.24]  crying. the the liquid that would come
[23:48.08]  out of your eyes to shed a tear or you
[23:50.32]  have tears in your eyes and you use that
[23:53.12]  long e sound tear. [sighs]
[23:56.72]  All right, let's do
[23:59.44]  another.
[24:01.28]  Think about that syllable stress when it
[24:03.20]  comes to verbs and nouns. How would you
[24:05.84]  say it?
[24:10.72]  I would say I had to subject the subject
[24:14.56]  to a series of tests.
[24:17.92]  All right, let's say it together.
[24:20.56]  I had to subject the subject to a series
[24:23.92]  of test. To subject
[24:27.36]  is the verb. The stress is on that
[24:29.68]  second syllable. Subject.
[24:32.32]  And again, you're kind of controlling
[24:35.36]  somebody uh against their will to
[24:38.64]  subject someone to something. In this
[24:41.04]  case, that someone is the subject. The
[24:44.08]  stress is on the first syllable and
[24:46.64]  we're referring to the thing being
[24:48.48]  discussed. But in this case, the the
[24:51.12]  thing would be like your the subject
[24:53.20]  would be like the person. I had to
[24:54.96]  subject the subject to a series of
[24:57.76]  tests. This is when that syllable stress
[25:00.56]  becomes important. Excellent. Uh
[25:03.60]  practicing. Yes. Nice. Gustav JJ Bella.
[25:07.28]  Well done.
[25:09.84]  Here's another.
[25:12.80]  I'll let you say it first
[25:20.88]  and then say it with me. Or how can I
[25:24.40]  intimate this to my most intimate
[25:26.96]  friend?
[25:29.84]  together.
[25:31.76]  How can I intimate this to my most
[25:34.88]  intimate friend?
[25:37.76]  This is this can be a little more
[25:39.44]  confusing because both words have three
[25:42.56]  syllables and the stress is on that
[25:44.64]  first syllable. The difference is that
[25:46.56]  third that final syllable. So to uh how
[25:50.88]  can I intimate something? How can you
[25:53.76]  make something clear without saying it
[25:56.40]  directly? Again, it's not the most
[25:58.88]  commonly used verb intimate.
[26:02.16]  And intimate is an adjective. It's
[26:05.12]  referring to like a close friendship
[26:07.12]  that you have with another person. This
[26:09.04]  is a word that you may come across from
[26:11.36]  time to time. You hear it with certain
[26:14.24]  uh in certain collocations like an
[26:16.24]  intimate relationship was is a common
[26:19.04]  collocation. So, intimate, intimate.
[26:22.96]  These are all different hon.
[26:31.52]  That's the goal is always learning
[26:33.28]  something new and getting that practice.
[26:35.52]  I hope that you were speaking. If you
[26:37.68]  were speaking in today's lessons, write
[26:39.44]  to me in the comments. Let me know. Just
[26:41.20]  write the word speaking so I know that
[26:44.08]  you are participating and actually
[26:47.04]  practicing your skills. And just as one
[26:50.08]  last reminder again, if you would like
[26:52.32]  to get the lesson notes and join our
[26:55.04]  community, check out the link down in
[26:56.96]  the description or I pinned it in the
[26:58.80]  chat here. And if you're already a part
[27:01.52]  of the community, check your inbox cuz
[27:04.24]  I've already sent them to you. So again,
[27:07.52]  I think for the most part, English as
[27:11.76]  well as other languages, they there are
[27:13.68]  certain things that may make the
[27:15.76]  language a little trickier, a little
[27:17.68]  confusing. And I think heteron is
[27:20.80]  something that definitely can be a
[27:23.12]  little more confusing for people
[27:25.20]  learning the language because you have
[27:27.44]  these words, the same spelling, but
[27:30.32]  different meaning and different
[27:31.84]  pronunciation. So, if you enjoyed this
[27:34.96]  lesson, if you practice and you learn
[27:37.28]  something new, please hit that like
[27:40.16]  button. I always appreciate it. If uh
[27:43.44]  you you also want to write to me in the
[27:45.28]  comments, of course, I love hearing from
[27:47.44]  you. And thank you guys for joining me
[27:50.24]  today and participating in this lesson.
[27:52.40]  And I hope that you got a little bit of
[27:55.04]  speaking practice. So I Lapka, nice. Uh
[28:01.28]  Lai, good to see you. Teao, glad you
[28:03.92]  learned something new. Give some quick
[28:05.36]  shout outs uh to people. DJ Flexible,
[28:08.40]  nice.
[28:10.08]  I hope that you enjoy the rest of your
[28:12.72]  day and I will see you all next time. So
[28:16.96]  long.
