Title     : POPULAR AMERICAN SLANG 🇺🇸  (Millennials & Gen Z)
Video ID  : AJdEpN82y0E
[04:14.10]  referring to an obsessive fan and I can
[04:17.22]  actually tell you where this word comes
[04:19.80]  from so it originated in the year 2000
[04:22.50]  with the Eminem song Stan that's the
[04:25.80]  name of the song and the song is talking
[04:28.44]  about a person named Stan who is an
[04:31.32]  obsessive fan I play the song for you
[04:33.66]  but I don't want to get a copyright
[04:35.28]  claim but often you would use this and
[04:37.62]  talk about some celebrity and then
[04:39.90]  follow it with the word stands if you
[04:42.90]  want to say that these people are
[04:44.58]  obsessive like Taylor Swift stands or
[04:48.30]  BTS stands
[04:50.34]  or interactive English stands I don't
[04:53.04]  know if many of you out there are just
[04:55.02]  obsessive fans but if you are you could
[04:57.72]  say that you're a Stan and if you are an
[05:00.24]  interactive English Stan let me know in
[05:02.16]  the comments then we have simp now this
[05:05.22]  is a noun and it refers to a person
[05:07.38]  typically a man who really desires the
[05:11.16]  attention and affection of another
[05:13.08]  person typically a woman so you would
[05:16.68]  say that someone is a simp and often I
[05:20.58]  really think you're going to hear
[05:21.90]  younger Generations use this word she's
[05:24.18]  a fake giraffe who eats all the good
[05:26.10]  leaves from the top of the tree Jake C
[05:27.90]  is her little simp who just stays
[05:30.48]  in a shitty relationship because he's
[05:31.98]  too afraid to be alone but to give you a
[05:34.32]  little more context here are some news
[05:36.60]  headlines for you rapper T Payne has
[05:38.88]  labeled Drake king of simp music what is
[05:42.72]  simping and what does being called a
[05:45.12]  simp mean this is from Men's Health I
[05:47.94]  guess this is information guys need to
[05:49.98]  know avoid using words like simp or Stan
[05:53.40]  when talking to older Generations I
[05:56.64]  think that's some good advice if you
[05:58.56]  were to use these words talking to my
[06:00.36]  parents they would have no idea what the
[06:02.22]  hell you're talking about and then
[06:03.66]  there's based this means to just be
[06:07.02]  yourself without worrying what others
[06:09.96]  think about you or how they perceive you
[06:12.56]  and this is a word that has really gone
[06:15.48]  viral on Tick Tock because according to
[06:18.48]  one article the hashtag for the word has
[06:21.08]  7.1 billion views and creators often you
[06:24.54]  use the tag when their videos relate to
[06:27.00]  the idea of being courageous original or
[06:30.30]  unaffected by Common culture so if I
[06:32.46]  don't care what others think and I share
[06:34.08]  my opinion and you agree with me you
[06:36.60]  might respond and just say based this is
[06:39.30]  the best video Lesson on slang ever made
[06:41.76]  and I'm not trying to be a simp I'm just
[06:44.34]  trying to keep it 100 because I'm sure
[06:46.38]  if you are an interactive English Stan
[06:48.96]  then you agree with me and you think
[06:50.88]  that this is based okay and I feel a
[06:53.52]  little ridiculous saying one right after
[06:55.20]  the other but it's good to get a little
[06:57.18]  bit of review alright Vibe check how are
[07:00.18]  things going okay are you enjoying the
[07:02.16]  lesson are you learning some new slang
[07:04.32]  if so let me know by hitting that like
[07:07.02]  button let's keep going with the next
[07:08.82]  word which is sus and this is just short
[07:12.30]  for saying something is suspect or
[07:14.88]  suspicious this is an adjective that
[07:17.16]  means giving the impression that someone
[07:19.50]  or something is questionable or
[07:21.96]  dishonest and once again I think mostly
[07:24.48]  younger Generations are going to use
[07:26.58]  this word at least younger than Gen X I
[07:29.28]  figure out what his angle is the one
[07:30.66]  thing we're calling that man is sus
[07:32.04]  because that's what he is he is so sorry
[07:33.90]  yeah Wyoming weird why everything so
[07:36.12]  sucks then we have bougie and this is
[07:38.94]  derived from the French word bourgeoisie
[07:41.66]  referring to the class of owners and
[07:44.76]  Merchants that were experiencing new
[07:46.80]  wealth back in the 16th century but the
[07:49.26]  slang meaning of bougie comes from
[07:51.60]  hip-hop and it was popularized by the
[07:54.00]  group Migos and I don't know who these
[07:56.34]  guys are I don't listen to their music
[07:58.08]  but just so you know where it comes from
[08:00.06]  this word is an adjective and it just
[08:02.76]  means
[08:03.74]  luxurious in Lifestyle Rich special
[08:06.90]  fancy so you could say my bougie friend
[08:09.66]  bought a new house or she's so bougie
[08:12.60]  with that Louis Vuitton bag or look at
[08:15.42]  Wes with his bougie outfit and I'm sure
[08:18.48]  you're thinking that well that example
[08:21.48]  is sus because you can see my outfit and
[08:24.18]  yeah it's not very luxurious but you get
[08:26.22]  the idea and then there's basic this is
[08:29.04]  an adjective that's used as an insult to
[08:31.50]  say that someone or something is boring
[08:33.96]  or uncool I could say look I'm Gonna
[08:37.80]  Keep it 100. this party is basic and I'm
[08:41.40]  leaving you may also hear people use the
[08:44.40]  phrase basic which is a common
[08:46.74]  phrase so you could say it is a
[08:48.36]  collocation with this adjective
[08:51.50]  you basic they called you a basic
[08:55.50]  my back charm our family should wear
[08:58.68]  uniforms with basic across the
[09:00.96]  front and I'm like that is Lady Gaga oh
[09:03.60]  your grandma's such a basic now
[09:06.30]  for a little review and this is possibly
[09:08.28]  going to sound weird but just because
[09:10.80]  you're learning this slang do not feel
[09:13.26]  like you have to use it this is just my
[09:15.84]  advice and perhaps you think my advice
[09:18.36]  is based because if you are trying to
[09:22.14]  force slang into a conversation people
[09:25.56]  may think that you're trying to be all
[09:27.30]  extra and you're gonna sound a little
[09:29.70]  strange like I may sound right now
[09:31.74]  because some of you may be looking at me
[09:34.68]  you see this Gen X person doing a lesson
[09:37.86]  on slang and you think you know this guy
[09:40.02]  is just a simp he's just trying to get a
[09:42.30]  bunch of attention I don't think that's
[09:44.34]  true I try to create a variety of
[09:46.80]  English lessons for all of my fans
[09:49.08]  especially my interactive English stands
[09:52.02]  you know who you are and even though
[09:54.84]  this review sounds a little weird I'm
[09:57.18]  just trying to keep it 100. so one last
[09:59.52]  Vibe check if you enjoyed the lesson and
[10:01.98]  learned something new I would appreciate
[10:03.90]  it if you hit that like button as always
[10:06.66]  thank you so much for watching and I
[10:08.70]  will see you next time so long
