Title     : Useful Phrasal Verbs with GET 👍  | Vocabulary Lesson
Video ID  : hAtgXJ7YxOc
[05:57.10]  The answer is GET AWAY.
[05:59.16]  We're talking about taking a vacation
[06:01.70]  and escaping for a few days.
[06:04.38]  GET AWAY
[06:05.60]  Number 6 - I know you're scared.
[06:08.86]  But you need to _____ it and face your fears.
[06:13.72]  I know you're scared.
[06:15.06]  But you need to _____ it and face your fears.
[06:18.78]  When you're scared, you need to GET OVER
[06:21.70]  or overcome your fears.
[06:24.22]  So GET OVER is the answer.
[06:27.18]  Hopefully you did really well on that practice.
[06:29.98]  And please feel free to try it again
[06:33.10]  and listen for the missing phrasal verb.
[06:35.40]  This is a great way to practice your
[06:37.98]  listening comprehension skills
[06:39.98]  or you could say the sentences aloud
[06:43.44]  and that will help you practice your speaking and pronunciation.
[06:47.14]  And remember...SHARING IS CARING.
[06:50.04]  If you enjoyed this lesson, please share it
[06:53.24]  with your fellow English learners.
[06:55.78]  Thanks for watching! And we'll see you next time.
