Title     : CONFUSING WORDS IN ENGLISH 📝  | Vocabulary Quiz Lesson
Video ID  : 2HhESbmc4VQ
[01:59.20]  may confuse from time to time. To be
[02:01.76]  quite honest, I think uh there are even
[02:04.80]  uh native speakers that confuse these
[02:06.96]  words as well. So let's go ahead and
[02:09.52]  begin with the first question that I
[02:11.36]  have for you. Uh we're talking about
[02:13.68]  these two words borrow and lend. And if
[02:17.60]  you are an avid fan of interactive
[02:21.04]  English, you should recognize many of
[02:24.16]  these words because I've actually done
[02:27.04]  lessons in the past talking about some
[02:30.32]  of these words. I actually did an entire
[02:32.08]  lesson, I think, on borrow and lend uh a
[02:34.80]  long time ago. So, the sentence, he
[02:37.20]  refused to m some money because I didn't
[02:40.64]  pay him back last time. Which of those
[02:43.12]  words would you use to complete that
[02:45.92]  sentence? Uh trying to think about the
[02:48.16]  difference between borrow and lend.
[02:50.48]  Excellent. Uh yes. Uh Jerry Aayam, uh
[02:57.52]  Amit, Teao, Sarah, uh Lai, great job.
[03:02.72]  Ja, Gahad, the correct answer is lend.
[03:06.72]  So, a quick way just to think about the
[03:09.68]  difference. When you borrow something,
[03:12.00]  you're taking it. When you lend it,
[03:14.40]  you're giving it. And notice those
[03:16.56]  actions I try to associate it with.
[03:19.12]  Borrow, you're taking. Lending, you are
[03:21.60]  giving. So, in this case, we're talking
[03:24.00]  about somebody else refused to give me
[03:28.16]  lend me some money because I didn't pay
[03:30.88]  him back last time. And yes, if uh if if
[03:36.48]  you don't pay somebody back, probably
[03:38.16]  that person may not lend you money in
[03:40.64]  the future. That is true. So hopefully
[03:43.12]  that one uh probably was a little
[03:45.04]  easier. I think difference between
[03:46.96]  borrow and lend. Um but great job. So
[03:49.92]  many correct answers. Uh excellent. Uh
[03:53.12]  Gustav, good to see you. Uh good to see
[03:55.36]  you. Welcome. Let's look at the next
[03:58.24]  one. All right. So some of them will be
[04:01.36]  easier, some of them will be a little
[04:03.68]  more difficult. So here we're talking
[04:06.88]  about the phrase every day, two words
[04:11.68]  versus the single word every day. So
[04:15.52]  again, the pronunciation is exactly the
[04:17.68]  same. The only difference is that uh one
[04:20.24]  is the phrase two words every day and
[04:23.12]  then the other one every day. And this
[04:25.84]  is something that I think people will
[04:28.00]  really confuse mostly with writing
[04:30.32]  because the pronunciation's the same if
[04:32.72]  you're saying it, you're speaking. No,
[04:35.28]  you're not going to know whether you're
[04:36.88]  talking about the one with two words or
[04:38.64]  just the one word. So, this is really
[04:40.64]  useful, I think, for your writing. If
[04:42.40]  you're writing an email or even
[04:44.48]  something for work or school, this is
[04:47.20]  something I always say to you guys. try
[04:49.60]  to study English a little bit each and
[04:54.32]  what do you think? Uh which which one
[04:57.28]  would you use to complete the the
[05:00.48]  sentence? Uh awesome. Excellent. So many
[05:03.20]  answers. You guys are boom just on this
[05:05.04]  today. Right. Very quick. Uh yes. Uh
[05:08.16]  Sevde, Yasher, Adriana, um Lai, Angela,
[05:14.00]  Levvenia,
[05:15.60]  we're we're talking uh Gustav. Perfect.
[05:18.96]  We're talking about the phrase every
[05:21.68]  day, two words. Try to study English a
[05:25.12]  little bit each and every day. So to
[05:30.00]  hopefully it makes sense. The phrase
[05:32.40]  every day, two words, it really just
[05:35.12]  means each day. It's something that's
[05:37.52]  going to happen uh every day. Every day
[05:41.76]  is one word. It's an adjective and
[05:44.48]  typically it's going to come before um a
[05:48.16]  noun like um we have to do some everyday
[05:51.84]  chores. All right, those are chores. You
[05:54.24]  have to do every day. But when we put it
[05:56.16]  in front of the noun everyday chores
[05:58.72]  then and use it as an adjective, then
[06:00.80]  we're going to use every day one word.
[06:03.60]  Most of the time I think people use it,
[06:05.52]  they're talking about the phrase um
[06:07.92]  every day. And notice each and every
[06:10.32]  that is a binomial pair. Those are
[06:12.40]  phrases that um are used informally but
[06:16.80]  they're connected with that conjunction
[06:18.64]  like short and sweet. Um something is
[06:21.92]  wine and dine. Each and every is another
[06:25.04]  binomial pair. In this case, each and
[06:26.80]  every day. So I think hopefully I think
[06:30.40]  you guys rock that one. So maybe that
[06:32.08]  was a little easier. This one I suspect
[06:36.40]  may be a little more difficult because
[06:39.92]  well first off because I think these
[06:42.24]  words are sometime they're used
[06:44.08]  interchangeably. There is a slight
[06:46.00]  difference between them but they you may
[06:48.80]  be used interchangeably. A lot of times
[06:51.60]  I think people will use sympathize. I
[06:53.92]  think that word is more commonly used.
[06:57.36]  So in the example sentence that I gave
[07:00.00]  you, she couldn't m with my situation
[07:03.92]  because she had never been in my shoes
[07:06.16]  before. Okay, which word best completes
[07:11.44]  that sentence? Sympathize or empathize?
[07:15.84]  And again, I will tell you the the
[07:18.56]  difference between these even though I
[07:20.56]  think um they they are often sometimes
[07:23.76]  used interchangeably. If you're just
[07:25.84]  joining us, we are doing it's kind of a
[07:28.00]  vocabulary quiz with these confusing
[07:31.12]  words. So, she couldn't with my
[07:33.92]  situation because she had never been in
[07:36.16]  my shoes. I tried to kind of give you a
[07:38.88]  hint with that last part, which is an
[07:40.96]  idiom to to be in one's shoes. It's
[07:44.24]  almost like then you're saying that you
[07:47.12]  understand what their situation is like,
[07:50.32]  what their what their life is like. Um,
[07:53.52]  and people might say something like,
[07:55.20]  "Well, try to put yourself in in my
[07:57.44]  shoes." And then they're telling
[07:59.04]  somebody like, "Look, try to understand
[08:00.96]  my situation." So, I wow, you guys
[08:04.56]  really did well. Uh, Musa, Raha, uh,
[08:07.28]  Maria, Teresa, excellent. Um, Angela,
[08:11.92]  Sajad,
[08:14.08]  Diana, uh, Rita, we're talking about the
[08:18.80]  empathize. All right. And that's really
[08:21.76]  the last part of that was the the clue.
[08:24.48]  She couldn't empathize with my situation
[08:26.96]  because she had never been in my shoes.
[08:29.60]  So I told you that I think some people
[08:31.76]  will use them interchangeably. The
[08:33.84]  slight difference is to sympathize. Both
[08:36.96]  of them are verbs. Um you could use them
[08:39.36]  as nouns as well, sympathy and empathy.
[08:42.96]  But to sympathize is you you understand
[08:47.12]  the feelings of another. that you
[08:49.60]  understand like oh they're upset like I
[08:52.16]  feel I feel bad for this person um and
[08:54.96]  you sympathize with them to empathize
[08:58.40]  it's you have experienced this thing so
[09:01.92]  if you're able to empathize um with
[09:04.72]  somebody that you understand because you
[09:08.40]  have gone through the same thing you
[09:10.96]  have gone through the same experience
[09:13.12]  and you can empathize with somebody's
[09:16.16]  situation so in this case I said she
[09:18.88]  couldn't empathize with my situation.
[09:21.84]  She had never been in my shoes that she
[09:24.64]  had never experienced the same thing. So
[09:27.76]  that is a slight difference between uh
[09:30.48]  these two words. But uh Lai, it's okay.
[09:33.44]  Don't worry. I know
[09:35.76]  you got it wrong. It's okay. It happens
[09:37.44]  from time to time. Uh but that's a
[09:39.44]  slight difference. So, it's good to know
[09:41.44]  the subtle differences between some of
[09:43.84]  these two words that you sympathize, you
[09:47.20]  understand the that this person may be
[09:50.32]  struggling, going through a difficult
[09:51.92]  time, empathize. It's when you um you
[09:55.52]  have experienced this same thing. The
[09:58.48]  let's look at this next one. Okay, also
[10:01.44]  maybe this one might be a little more
[10:03.92]  challenging. Uh imply versus infer. In
[10:08.32]  this case again both of them are verbs
[10:10.64]  to imply or to infer. Which one would
[10:15.04]  best complete this sentence right here?
[10:18.16]  So it says based on the latest
[10:21.28]  statistics we can
[10:24.16]  that the new policy is working. All
[10:27.36]  right. Based on the latest statistics we
[10:31.28]  can that the new policy is working.
[10:35.04]  which uh which of those words again
[10:37.92]  they're commonly confused mostly because
[10:41.52]  uh well they have well they're not
[10:44.88]  really spelled the same but
[10:48.96]  wow you guys you guys are on top of your
[10:51.36]  your game today I I will tell you that
[10:55.68]  maybe maybe I told you because I've
[10:58.16]  talked about all of these confusing
[10:59.92]  words before in previous lessons maybe
[11:02.24]  you guys are just such avid fans that uh
[11:05.52]  you remember all of this information.
[11:07.60]  But yes, excellent. Um Ricardo, Ricardo,
[11:11.12]  Mr. Tomorrow. Um
[11:14.16]  let's see. Uh Gustav Lai, perfect.
[11:18.64]  Angela, uh just try to give some more
[11:22.00]  shout outs. Uh Flybore,
[11:25.12]  the answer is the
[11:28.32]  uh Eku Eco from Japan. Excellent. The
[11:32.80]  answer is infer. So let's let me show
[11:35.44]  you the what they mean uh and try to
[11:38.08]  explain it a little bit. So I'll just
[11:40.40]  read the sentences. Based on this the
[11:42.72]  latest statistics we can infer that the
[11:46.16]  new policy is working. So to imply is to
[11:50.32]  express something in an indirect way. To
[11:54.00]  infer is you're forming an opinion based
[11:56.64]  on evidence or fact. They're very two
[11:58.96]  different meanings. Let me give you an
[12:00.64]  example for imply. So, I don't know if
[12:04.00]  you saw um the lesson I did a couple of
[12:07.20]  weeks ago about innuendos and I talked
[12:10.72]  about some sexual innuendos that people
[12:13.92]  will say things and they are implying or
[12:18.32]  suggesting something else in an indirect
[12:21.60]  way. I gave you an example like uh at
[12:24.40]  work and I say, "Wow, um Kim and Steve
[12:27.92]  are spending a lot of time together.
[12:30.48]  They're spending a lot of time together
[12:32.16]  outside of the office. All right. When
[12:34.80]  you say that, I'm implying that maybe
[12:37.52]  they're having some type of relationship
[12:39.92]  that maybe they're romantically
[12:41.28]  involved. I'm implying that indirectly.
[12:44.00]  To infer is with like you're making an
[12:46.96]  inference. You see something and it's
[12:49.76]  like, oh, you can decide something else.
[12:52.00]  Like if somebody walks in your room and
[12:55.12]  they're just wet, then you could in you
[12:58.40]  could infer what the weather is like.
[13:01.04]  You could infer that, well, it's
[13:02.96]  probably raining outside, which is why
[13:05.12]  this person is wet. Uh so again, two
[13:08.00]  different meanings. In this case, um
[13:10.16]  you're looking at these statistics and
[13:12.16]  like, oh, okay, because of the
[13:14.24]  statistics, we can infer, we can form
[13:17.12]  the opinion that the policy is working.
[13:20.48]  Uh all right. So, let's look at the next
[13:23.20]  one. Again, if you guys happen to be
[13:25.68]  joining us, we're talking about the the
[13:27.92]  difference between some commonly
[13:30.72]  confused words or some confusing words
[13:34.24]  in English. We have the difference
[13:36.56]  between fun and funny. I think maybe
[13:39.68]  this one might be a little easier in the
[13:41.92]  past. I also did another lesson. Uh
[13:44.72]  maybe I'll include some of those down in
[13:46.72]  the description if you guys would like
[13:48.96]  to review um and check out some of these
[13:51.92]  other video lessons where I talk about
[13:53.68]  them with more examples in greater
[13:55.60]  detail. So fun and funny. We had a
[13:58.56]  really m time at the comedy show. We
[14:02.00]  laughed for hours. All right. Which one?
[14:05.68]  And I tried to I tried to trick you with
[14:09.28]  this sentence. All right. We had a
[14:11.84]  really m time at the comedy show. We
[14:15.28]  laughed for hours.
[14:17.52]  All right. So, I like I'm trying to
[14:21.20]  trick you with that second part of the
[14:23.92]  sentence. Let me just give some shout
[14:25.84]  outs to uh those of you with the correct
[14:28.00]  answer. Yes. Uh Sid, uh Diana, Lai,
[14:33.04]  excellent. Uh Suana, Angela, Anowit,
[14:36.80]  Levvenia are Wait, no, that was funny.
[14:39.52]  The the correct answer is fun. All
[14:41.52]  right. And I'll tell you why in just a
[14:43.28]  moment. Louise Limey. Um, okay. Maria
[14:47.68]  Teresa.
[14:49.36]  Excellent. Good job. The correct answer
[14:51.92]  I told you is fun. We're talking about a
[14:54.24]  fun time. So if you overwhelmingly
[14:58.48]  if you're talking about some time period
[15:01.04]  and you want to describe it, you say,
[15:02.72]  "Oh, we had a fun time at the concert.
[15:04.88]  We had a fun time at the party. I I hope
[15:07.60]  you guys are having a fun time uh in
[15:10.00]  this class right now learning this
[15:12.00]  vocabulary. So fun refers to enjoyment.
[15:15.44]  You're having a good time. The reason
[15:17.76]  why I tried to maybe trick you is
[15:19.92]  because we're talking about a comedy
[15:21.44]  show where you're watching some comedian
[15:24.16]  and you're laughing. So funny is an
[15:27.04]  adjective that really refers to either a
[15:30.08]  situation like I said um and it was a
[15:33.04]  funny situation and you're describing it
[15:36.00]  or you could describe a person and say
[15:38.00]  well this person is funny. So if you're
[15:41.36]  talking about a time in general that's
[15:44.16]  not really you're not going to describe
[15:46.72]  that um using the word funny and say oh
[15:49.84]  it was a funny time. uh you would just
[15:52.24]  say that something is funny and that's
[15:54.96]  it. So most of the time you're going to
[15:59.04]  use it as a predicate adjective if I
[16:02.48]  want to be very specific and it's going
[16:04.80]  to follow the verb to be and you'd say a
[16:07.52]  situation is funny or maybe a person is
[16:11.20]  funny. I like to think I am funny but
[16:14.24]  well I have my moments not always. Uh so
[16:16.88]  in that case we're talking about time.
[16:19.52]  You would describe you would describe
[16:21.36]  the time that you had as fun. We had a
[16:23.36]  fun time. Um and that would be the
[16:28.08]  adjective. That would be the correct
[16:30.00]  answer. Um all right. So let's look at
[16:34.48]  the next one. Thank you, Maria Terisa.
[16:36.80]  Thank you. I really appreciate that. Uh
[16:38.56]  an excellent teaser. Yashar. Wait, I
[16:40.48]  said I said your name at the very
[16:41.84]  beginning, I think, uh, in one of the
[16:44.72]  like during the hellos. I'll try to try
[16:46.80]  to get as many as I can. U, Dorcas, yes.
[16:49.52]  Excellent. Fun is the correct answer.
[16:53.20]  Uh, let's see.
[16:56.40]  This one is more difficult. Um
[16:59.92]  I I will explain it and I think probably
[17:02.88]  you'll be able to guess the answer but
[17:06.32]  this is uh these are phrasal verbs and
[17:08.80]  trying to think well what's the
[17:09.92]  difference between burn up and burn
[17:12.16]  down. Okay so the sentence that I gave
[17:16.08]  you is talking about well I had a
[17:19.28]  collection of old books sadly many of
[17:22.80]  them
[17:24.56]  in the fire.
[17:26.96]  Okay. How which of those phrasal verbs
[17:31.04]  would you use to complete um this
[17:34.88]  sentence? And they're really there's
[17:36.24]  only one correct answer. So, are you
[17:39.12]  going to use burn up or burn down? If
[17:42.16]  you wanted to really get technical
[17:43.84]  because I know you guys are just typing
[17:45.20]  this quickly uh in the chat, this would
[17:48.40]  be remember I had a collection. We're
[17:51.28]  talking about the past. So, something
[17:53.52]  happened in the past. So, if we want to
[17:56.08]  get really technical, um, you would be
[17:58.72]  using burned. It's a regular verb. Burn
[18:01.36]  in the past. Burned up or burned down.
[18:05.12]  Which one do you think, uh, you're going
[18:07.44]  to use? I did, again, I talked about
[18:09.36]  this in a previous lesson. I had a
[18:11.68]  collection of old books. Sadly, many of
[18:13.28]  them in the fire. Uh, excellent, Gustav.
[18:18.32]  Perfect. Uh, let's give some shout outs.
[18:21.12]  Venry. Uh, Veni. Nice. Lewis. Uh, who
[18:25.76]  else do we have? Benny, good job. Mr.
[18:29.28]  Tomorrow, excellent.
[18:31.52]  Um, Lolly, sorry. Uhuh. Um, the correct
[18:36.24]  answer the correct answer is burn up.
[18:39.60]  And I will I'll explain why. So, both
[18:42.96]  burn up and burn down. Something is
[18:46.08]  being destroyed by fire and it's
[18:48.88]  destroying something. The difference I
[18:51.76]  would say is that if something burns
[18:53.60]  down, it's it's talking about a larger
[18:56.88]  structure. So I think of like uh a house
[19:01.04]  or a bridge or some building, some
[19:04.64]  larger structure that is destroyed by
[19:08.00]  the fire and it would like burn to the
[19:10.56]  ground and it would burn down and
[19:12.88]  possibly collapse. If something burns
[19:15.84]  up, it's also destroyed by the fire. But
[19:19.28]  I would say that it's like something is
[19:22.00]  really consumed by it. Something maybe
[19:24.64]  like a smaller object. So in this case,
[19:27.76]  if there was a house fire and a home was
[19:29.84]  on fire, the things in the home, the
[19:33.60]  home itself would burn down, but the
[19:36.16]  things inside the home might burn up.
[19:38.64]  Like if you have a book, books are made
[19:40.48]  of paper. They would burn up in the
[19:42.96]  fire. Another um situation in which you
[19:46.32]  may hear um burn up. Think about um
[19:50.24]  asteroids entering the earth's atmosph
[19:52.72]  atmosphere. They never make it into the
[19:55.20]  earth. They burn up in the atmosphere is
[19:57.76]  another uh example of when you might say
[20:00.64]  something burns up. So I hope that makes
[20:03.52]  um sense between burn up, burn down,
[20:05.68]  burn down. Think of like a larger
[20:07.44]  structure like a building, a home, a
[20:09.60]  bridge, and like oh it burned down, fell
[20:11.76]  to the ground. um burn up just something
[20:14.96]  like items that you might have. So in
[20:16.80]  this case, we're talking about the home
[20:18.64]  was on fire. The books were inside
[20:20.56]  there. They burned up. I know I'm
[20:22.64]  talking about this a lot right now. Uh
[20:24.96]  so let's just move on to the next one.
[20:27.04]  All right, it's okay. We got more.
[20:29.12]  There's more left. Um more questions for
[20:32.24]  you. Here is uh the next set of
[20:36.96]  confusing words. the difference between
[20:39.76]  persuade and convince.
[20:43.04]  Again, they're very similar in some
[20:45.84]  instances. You could even say they're
[20:48.32]  interchangeable, but there there there
[20:51.28]  is a slight difference between these
[20:53.36]  two, especially when you think about,
[20:55.84]  well, when in what situation are are you
[20:59.36]  going to use them? So, think about this
[21:01.28]  situation right here. Try to put a
[21:03.60]  picture in your mind about what is
[21:05.76]  happening. the lawyer was able to m the
[21:10.00]  jury that the defendant was not guilty.
[21:14.56]  So, we're talking about a situation that
[21:17.60]  is in a courtroom. You have a lawyer,
[21:20.24]  you have a defendant, there's a jury
[21:22.80]  who's going to make a decision and the
[21:25.28]  lawyer was able to m the jury that the
[21:28.88]  defendant was not guilty. I told you.
[21:34.40]  I'm trying to think in this case. I
[21:36.48]  guess you could use them
[21:37.68]  interchangeably. Again, I will tell you
[21:40.88]  why. I'm going to give you the answer
[21:42.88]  that I am because yes, there is there
[21:45.60]  can be a slight difference. So, yes. Um,
[21:49.84]  excellent. Uh,
[21:52.40]  let me just show you guys. It's it's
[21:54.00]  moving really fast right now through the
[21:55.60]  chat. The correct answer is convince.
[21:59.84]  Okay. So,
[22:02.56]  the reason for that, because I saw some
[22:04.88]  people put persuade, and if you said
[22:06.80]  persuade, I wouldn't say like, oh no,
[22:08.88]  like it's not like if you had mentioned
[22:11.36]  this to me in a conversation, I would
[22:13.60]  not stop and think, hm, that was the
[22:15.04]  wrong word. Persuade is like you're
[22:17.28]  you're c to cause someone to do
[22:19.92]  something by reason or an argument. So,
[22:22.24]  you're giving them your opinion, you're
[22:24.48]  giving them an argument, and you want
[22:26.72]  them to do something, perhaps take some
[22:29.04]  action. Convince is more about you, you
[22:32.48]  want someone to believe something. You
[22:35.12]  want them to believe something is true.
[22:37.76]  So, in this case, the lawyer was able to
[22:41.52]  convince the jury, the convince these
[22:44.80]  people to believe the defendant was not
[22:48.08]  guilty. So, you're talking about that
[22:50.08]  these the jury now believes that this is
[22:54.00]  true. They believe the defendant is not
[22:56.64]  guilty. Think about it another way. If I
[22:59.92]  wanted to use um persuade and you're
[23:03.04]  trying to get someone to do something,
[23:06.32]  then I might think um you could say the
[23:08.64]  lawyer was able to persuade the jury
[23:13.20]  to um
[23:15.68]  for uh to pres to persuade the jury to
[23:20.24]  vote not guilty. So in that case, it's
[23:23.44]  like you're trying to get them to take
[23:25.52]  some action like their vote, in which
[23:28.00]  case maybe um you would then in that
[23:30.64]  case use persuade. So again, it's a very
[23:34.00]  slight difference. Persuade, it makes me
[23:36.24]  think, you know, you're trying to get
[23:38.24]  somebody to do something, take some sort
[23:40.24]  of action. Uh convince is more so just
[23:44.08]  believing something is true. So
[23:48.40]  let's look at the next one. Again,
[23:50.08]  that's a little more difficult because
[23:51.76]  the meaning persuade and convince, often
[23:55.36]  people might use them uh interchangeably
[23:57.76]  as synonyms. These two words are
[24:00.96]  certainly different. Um
[24:03.84]  well, slight they're they're slightly
[24:05.92]  different. I'll say that. Um this is
[24:08.48]  more it's not just vocabulary, but also
[24:11.92]  more of a grammar question. trying to
[24:14.40]  think about the difference, making sure
[24:16.32]  you know the difference between less and
[24:20.08]  fewer. So, my sentence that I want you
[24:23.60]  guys to complete, there were m people on
[24:27.20]  the metro today than there were
[24:30.08]  yesterday.
[24:31.60]  Which one are you going to use to
[24:34.40]  complete this sentence? Are you going to
[24:36.24]  use less or fewer? And I think you guys
[24:43.04]  are mostly overwhelmingly getting this
[24:46.16]  correct. Excellent. Just some shout
[24:48.24]  outs. Yes, good job. Um,
[24:51.84]  Jari, Gahab,
[24:54.24]  Yasher, uh, Angela, Takaya, Lai,
[24:57.76]  excellent. You got that one correct. The
[25:01.12]  correct answer is fewer. Okay. And this
[25:05.60]  is where I think in spoken English you
[25:09.76]  people will make this mistake I I think
[25:12.16]  quite often and they will confuse these
[25:15.44]  especially when we're talking about an
[25:17.52]  irregular plural noun which is what I
[25:21.04]  used trying to confuse you a little bit
[25:23.92]  but we use less. I told you it was more
[25:26.16]  of a grammar question. We use less. It
[25:29.20]  means not as much for non-count nouns.
[25:33.44]  So we use less for non-count nouns like
[25:36.72]  less water um or
[25:41.36]  less I don't milk we're talk we use
[25:44.32]  fewer for count nouns so people it is a
[25:48.72]  count noun it is an irregular uh plural
[25:52.24]  noun but in that case you would use
[25:54.72]  fewer there were fewer people on the
[25:57.52]  metro today than there were yesterday
[26:00.48]  but I would say that just in spoken in
[26:03.36]  English people um whether they're
[26:06.64]  learners or even native speakers uh they
[26:09.92]  will confuse them and they may say yeah
[26:12.16]  there were less people on the metro
[26:13.52]  today than there were yesterday to be
[26:15.52]  quite honest I do this too I I will
[26:17.68]  confuse these from time to time um and
[26:20.64]  sometime I'll catch myself too and I'll
[26:23.04]  I'll use less and and most of the time
[26:25.76]  when people make a mistake they're using
[26:27.68]  less instead of fewer and that's when
[26:30.64]  people often make the mistake I've done
[26:32.40]  it do and I'll catch myself and I'll
[26:34.24]  realize hm I said less when I should
[26:37.04]  have used fewer but just good it's good
[26:40.00]  to be aware of the next question uh or
[26:42.80]  the next set of words that I have for
[26:44.48]  you the difference between reserve and
[26:47.12]  book these are both uh verbs to reserve
[26:51.44]  to reserve something or to book
[26:53.92]  something and I want you guys to think
[26:56.96]  about well what what is the difference
[26:59.04]  between these two it's it's very subtle.
[27:02.88]  It's very slight, but in the example
[27:05.52]  that I gave you, um,
[27:08.64]  we should go ahead and m a hotel room
[27:12.24]  for this weekend. Okay. What do you
[27:15.28]  think uh would best complete that
[27:18.00]  sentence? We should go ahead and m a
[27:20.32]  hotel room for this weekend. Uh,
[27:23.60]  excellent. All right. Give some quick
[27:25.12]  shout outs here. Uh, yes, Metate. Um,
[27:30.32]  Tom Tom Zang. Nice. Kerasidarees. Uh
[27:34.40]  Sarah,
[27:36.00]  uh Daniel,
[27:38.40]  Adris,
[27:40.16]  uh Bangun, trying to give some new
[27:42.16]  shoutouts. Uh say some new names. I
[27:44.08]  apologize if I haven't been able to to
[27:46.32]  say your name today. Gustav, excellent.
[27:50.00]  Book is what I would use. And the slight
[27:54.00]  difference I'd say to reserve something
[27:56.56]  is you're you're keeping something.
[27:58.64]  you're saving it for a particular
[28:00.56]  purpose. Booking, you're doing the same
[28:03.20]  thing, but when you book something,
[28:04.72]  you're you're going ahead and paying for
[28:06.32]  it. Reserving, you may not you may not
[28:09.84]  be paying for it. So, in this case,
[28:11.76]  we're talking about a hotel room. You
[28:14.08]  you need to pay for a hotel room in
[28:16.32]  order to keep it for yourself. So, you
[28:18.48]  would book a hotel room. Some people,
[28:22.08]  again, they may be used interchangeably.
[28:24.24]  You may hear like, "Oh, we need to
[28:25.52]  reserve a hotel room." I think of
[28:27.12]  reserve more often would be used with
[28:29.84]  talking about like a table at a
[28:32.64]  restaurant and you're going to a
[28:34.48]  restaurant. You want to make sure that
[28:36.40]  you have a table because you're with a
[28:38.56]  group of people and you would reserve a
[28:41.28]  table. You're not going to use book
[28:43.68]  because it's not something you're going
[28:45.44]  to pay for uh if you're talking about a
[28:48.00]  restaurant. So you would reserve a table
[28:50.48]  at a restaurant but you would book a
[28:53.36]  hotel room, you would book a flight
[28:55.84]  because you have to pay for your flight.
[28:57.84]  Um so there is a difference between uh
[29:00.72]  these two reserve and book and I hope
[29:03.60]  that explanation made sense. Then we
[29:07.12]  have these two words which I also very
[29:11.92]  uh similar uh say versus tell. Again,
[29:17.44]  this is another set of words that I did
[29:19.60]  a lesson on a while back, and I will go
[29:22.08]  back through and try to throw those down
[29:24.40]  in the description in case you'd like to
[29:28.00]  uh watch more video lessons, which I
[29:30.00]  hope I hope you like to do. So, I'm
[29:33.68]  going to you a secret. Please do not m
[29:37.52]  anything to anyone.
[29:39.84]  And if you're not sure exactly why, like
[29:42.64]  why you should use which one, just do
[29:45.04]  what what which one feels right. Just
[29:47.36]  your your feeling as to what do you
[29:49.12]  think? Okay, I I feel this is the way uh
[29:52.32]  that this is the correct answer. And in
[29:54.56]  this case, I I want you uh I'm having
[29:57.20]  you use both of them. Um I'm going to m
[30:00.40]  you a secret. Please do not m anything
[30:03.52]  to anyone. All right. Excellent. A lot
[30:06.80]  of lot of answers to this one. Perfect.
[30:09.76]  So, you're using both of them, but
[30:13.28]  you're going to use uh the first one,
[30:15.84]  tell, and then you're going to use say.
[30:18.72]  So, all of you who wrote tell, say, that
[30:22.00]  is the correct answer. I'm going to tell
[30:24.24]  you a secret. Please do not say anything
[30:27.52]  to anyone. That is uh the correct
[30:30.64]  answer. So, think about it this way. You
[30:33.12]  say something to someone. All right? you
[30:36.72]  say something to someone and you would
[30:39.44]  tell someone something. Uh, so in this
[30:44.24]  case, it fits right in there. The way
[30:47.04]  that I had this sentence, I'm going to
[30:49.60]  tell uh you a secret. I'm going to tell
[30:53.04]  someone something. Tell you a secret.
[30:56.16]  Please do not say anything to anyone. To
[30:59.92]  say something to someone, say anything
[31:02.96]  to anyone. All right, so that is the
[31:06.40]  difference between those two. I think
[31:08.00]  you guys overwhelmingly got that one
[31:11.04]  correct. Great job. Uh I hope that again
[31:15.12]  this is just good practice for you not
[31:18.00]  only to build your vocabulary but to
[31:20.88]  understand some of the slight
[31:22.64]  differences between these words which is
[31:24.88]  just going to help you improve your
[31:26.96]  overall English fluency. Uh just want to
[31:29.84]  I want to thank you guys so many great
