Title     : VERB TENSE QUIZ 📝  | Advanced Grammar Lesson
Video ID  : Lp01IpEZlL4
[02:08.48]  more difficult as we go along
[02:11.04]  so here is our first sentence
[02:15.04]  all right and i want you to complete
[02:19.12]  that sentence and this maybe this is a
[02:21.52]  little tricky
[02:22.48]  so i've given you a hint that this is uh
[02:25.28]  well there is a modal
[02:27.12]  in this sentence all right there's a
[02:30.00]  modal in this sentence
[02:31.84]  and i want you to the main verb is no
[02:34.88]  all right so how would you complete this
[02:37.12]  sentence he ought
[02:38.96]  um better what do you think
[02:42.56]  all right what do you think write your
[02:45.36]  answers
[02:46.00]  in the chat uh hi oh
[02:49.04]  silvio hello how are you marty good to
[02:50.96]  see you guys
[02:52.40]  um write your answers in the chat and
[02:55.04]  then i'll
[02:55.84]  tell you the correct answer so the
[02:58.16]  reason i said it's a little
[03:00.16]  not tricky i think you guys got this
[03:02.24]  excellent uh
[03:03.52]  jet should be here uh giorgio
[03:07.28]  fulia pt nekla hello ariane
[03:11.04]  uh asan excellent the answer is to no
[03:15.68]  so i told you that it's a little tricky
[03:17.36]  because you're not only writing the verb
[03:19.12]  you need to put the preposition to
[03:21.28]  in there so ought is your modal verb
[03:24.32]  many people really consider
[03:25.60]  ought to as the modal and then
[03:28.64]  when you have like a modal verb you're
[03:30.48]  going to follow that
[03:32.08]  with the base verb no so he ought to
[03:35.12]  know better
[03:36.16]  and in this case you're talking about
[03:38.24]  something that
[03:39.20]  somebody well the kind of a
[03:41.36]  recommendation they should do this
[03:43.12]  something that should happen
[03:44.72]  and you could say like i think this is a
[03:47.44]  common phrase if somebody
[03:49.44]  makes a bad mistake or they make a bad
[03:51.60]  decision and you say
[03:53.12]  he ought to know better he ought to know
[03:54.56]  better than that all right excellent
[03:56.72]  uh you guys got that one perfect oh
[03:59.36]  takayo hello how are you
[04:00.80]  excellent glad to see you the next one
[04:03.68]  right here
[04:05.36]  um this is gonna be
[04:08.40]  again maybe it's a little tricky we'll
[04:10.64]  see i did say this is more advanced
[04:12.56]  grammar
[04:13.44]  so the plain your main verb is arrive
[04:18.40]  at 8 pm your clue is
[04:21.60]  scheduled time you might be thinking
[04:24.32]  schedule time wait
[04:25.60]  what does that have to do with anything
[04:27.44]  i will explain
[04:29.12]  when i give you the answer all right so
[04:33.20]  how would you complete that sentence
[04:35.76]  think about
[04:36.40]  um somebody is saying that oh
[04:39.92]  we gotta get to the airport the plane um
[04:43.20]  at eight pm all right
[04:46.96]  perfect wow you guys are rocking this uh
[04:49.84]  saeed
[04:50.64]  lolly excellent uh
[04:53.76]  konisi uh peter
[04:56.88]  ali brayan i thought this would be a
[04:59.76]  little trickier
[05:00.56]  maybe you guys you guys are just too
[05:03.36]  smart
[05:04.16]  so the reason i said i thought it would
[05:06.32]  be tricky is because i thought many
[05:08.00]  people might say
[05:08.96]  will arrive which you could say but
[05:11.76]  scheduled time
[05:13.20]  it's more common that people are going
[05:15.52]  to use the present simple
[05:17.52]  even if you're talking about something
[05:19.52]  in the future
[05:20.64]  so if we have to go to the airport i
[05:23.20]  would tell you like oh we
[05:24.80]  we need to leave now we need to drive to
[05:27.12]  the airport
[05:28.16]  because the plane arrives at 8pm
[05:31.20]  i'm talking about something in the
[05:32.96]  future but i'm
[05:34.24]  using the present tense because we're
[05:36.96]  talking about
[05:37.76]  something that is scheduled scheduled
[05:40.16]  time you would do the same thing with
[05:42.40]  um maybe a movie you would tell
[05:45.68]  your friend they might say oh what time
[05:47.52]  does the movie start
[05:48.96]  the movie starts at nine o'clock i'm
[05:51.44]  still talking about something in the
[05:53.20]  future
[05:53.92]  but because it's scheduled time most
[05:56.64]  people are going to use the present
[05:58.32]  simple
[05:58.96]  if you say the movie will start that's
[06:00.80]  perfectly fine
[06:02.00]  but i think very common in this case
[06:04.80]  people will use a present simple
[06:06.32]  excellent you guys wow rock that one
[06:09.60]  how about this one again
[06:11.13]  [Music]
[06:12.96]  your clue unspecified time
[06:16.24]  all right the main verb is the verb to
[06:18.56]  be
[06:19.44]  so how would you complete this sentence
[06:22.80]  i um to china twice
[06:26.56]  and the hint that i'm giving you is just
[06:29.12]  right there
[06:29.92]  i'm talking about schedu unspecified
[06:32.64]  time
[06:33.12]  i was about to say schedule time
[06:35.32]  unspecified time
[06:37.28]  you're going to use which verb tense
[06:41.28]  all right write your answer in the chat
[06:42.96]  like i said even if you're watching this
[06:44.64]  later
[06:45.12]  write to me in the comments i always
[06:46.96]  love getting those uh
[06:48.64]  i see these old videos and people are
[06:51.36]  using that comment section and i think
[06:53.12]  it's great
[06:54.08]  so excellent uh perfect lolli
[06:57.44]  giorgio some of these names i can't
[06:59.92]  pronounce
[07:00.80]  uh angela uh situnia
[07:04.80]  ali yes amen so
[07:07.92]  in this case unspecified time we're
[07:10.64]  talking about the present
[07:12.16]  perfect tense i have been to china twice
[07:16.56]  you don't know when i'm talking about
[07:19.60]  i didn't tell you the time so in that
[07:22.40]  case
[07:22.88]  it's it's common people are going to use
[07:25.12]  the present perfect tense i have been
[07:27.52]  to china twice if i told you the time
[07:31.36]  if i said last year in that case
[07:35.12]  people would then use the uh the past
[07:37.36]  simple i went to china
[07:39.20]  last year that that would be specified
[07:42.24]  time
[07:42.80]  and then you would use the the simple
[07:44.48]  pass but in this case
[07:45.84]  we're going to use the present uh
[07:47.76]  present perfect excellent
[07:49.92]  here we go and this is true actually
[07:53.28]  uh this is a true sentence for me and my
[07:56.32]  family i'd say
[07:57.44]  last year last year at this time
[08:01.04]  we um a trip to romania
[08:04.64]  your clue is i'm talking about an action
[08:08.16]  at a point in time so hopefully these
[08:10.64]  clues that i'm giving you
[08:12.48]  will help remind you of the verb tense
[08:16.08]  that you should be using
[08:17.44]  because when you're learning verb tenses
[08:19.28]  this is what this is the way people
[08:21.04]  would teach them this is how i would
[08:22.48]  talk about them
[08:23.44]  and i would tell people oh think about
[08:25.52]  think about it's an action
[08:26.96]  at a point in time you're going to use
[08:30.32]  this verb tense last year at this time
[08:34.56]  we um a trip to romania the main
[08:37.84]  verb is plan
[08:41.52]  all right so
[08:45.60]  excellent this one okay so if we get a
[08:48.72]  little
[08:49.44]  more difficult i gotta give some shout
[08:51.60]  outs konisi
[08:52.80]  perfect saeed that's what i was looking
[08:55.36]  for
[08:56.24]  um i saw another answer close uh
[08:59.28]  who is it uh gosh it's kind of moving
[09:02.48]  for anna perfect uh yashar
[09:07.04]  we're talking about the past continuous
[09:10.56]  last year at this time we were planning
[09:13.92]  a trip to romania so
[09:17.04]  to plan that's the main verb i i said
[09:19.92]  it's an
[09:20.40]  action so if you think about an action
[09:22.72]  it's like something that's happening
[09:24.72]  at a point in time which means it's
[09:26.72]  going to continue
[09:28.00]  because we're talking about an action
[09:29.44]  typically it's something that will
[09:30.96]  continue along
[09:32.48]  and in this case it's the past
[09:36.24]  continuous at this time last year we
[09:38.56]  were planning a trip
[09:40.16]  to romania so again i could ask somebody
[09:43.12]  like oh
[09:43.68]  what did you do last year and then i'd
[09:46.08]  say oh we went to romania or
[09:48.32]  uh or if somebody's asking for that
[09:50.56]  point in time remember
[09:52.00]  think of the continuous tense you're
[09:53.68]  talking about a point in time
[09:55.60]  like the present present continuous
[09:58.72]  i am teaching a live lesson right now
[10:02.00]  it's what's happening at this point
[10:04.00]  in time and you could do the same for
[10:05.76]  the past at that point in time
[10:07.84]  we were planning a trip to romania
[10:10.48]  excellent
[10:11.44]  well done i know it's a little more
[10:13.04]  difficult let's look
[10:14.72]  uh at the next one okay
[10:18.96]  the main verb is get
[10:22.56]  okay i um
[10:25.60]  the door in this case i want you to
[10:28.64]  think about the situation
[10:30.64]  and you're saying this sentence like
[10:33.28]  it's a quick and sudden decision
[10:36.48]  so perhaps you're you're in your home
[10:39.36]  and you hear this
[10:40.16]  knock and somebody says
[10:43.68]  i um the door and i want you to use
[10:47.68]  the verb get we're talking about
[10:50.88]  a quick and sudden decision
[10:54.16]  excellent uh well done hi
[10:57.20]  hello isabella excellent uh lolly
[11:00.80]  konisi hello mohammed sayet
[11:04.48]  darby uh gatrudes yes we're talking
[11:08.00]  about the future tense something in the
[11:09.84]  future but it's like really the
[11:11.36]  immediate future
[11:12.72]  and if you're talking about a sudden
[11:14.16]  decision i'll get
[11:16.24]  so you're going to use will with quick
[11:19.36]  and sudden decisions something that
[11:21.28]  would happen immediately
[11:22.56]  and i think most of the time in
[11:24.32]  conversation
[11:25.68]  people are going to use the contracted
[11:27.76]  form i will
[11:29.20]  ow i'll get the door i'll answer it
[11:32.32]  so that is i think overwhelmingly how
[11:36.00]  people will use this
[11:37.20]  you are not going to use going to
[11:40.24]  all right you will use will i'll get the
[11:42.48]  door quick
[11:43.84]  sudden decision the next one
[11:48.48]  right here so this i'm telling you
[11:50.56]  there's an adverb clause
[11:52.24]  in this sentence and the adverb clause
[11:54.40]  is before my alarm went off
[11:56.56]  the hint is really like think about that
[11:59.20]  adverb clause
[12:00.32]  and that's going to help you determine
[12:02.16]  the the verb tense
[12:04.16]  that main verb which is here so before
[12:07.12]  my alarm went off i
[12:08.84]  um a loud boom
[12:12.80]  what would you say before
[12:16.56]  my alarm went off i um
[12:20.24]  allowed boom
[12:25.52]  all right so ooh
[12:28.72]  interesting
[12:32.64]  you it depends on the context i think i
[12:35.68]  think maybe you guys are trying to
[12:38.96]  so the answer that i have for you just
[12:41.60]  think about
[12:42.32]  is just heard all right
[12:45.52]  before my alarm went off i heard a loud
[12:48.96]  boom in this case i know many of you put
[12:52.64]  uh had heard remember you're going to
[12:55.28]  use the past
[12:56.16]  perfect when you're talking about
[12:59.20]  two events two past events
[13:02.72]  in this case you're saying before my
[13:04.40]  alarm went off all right that that
[13:06.00]  has not happened yet you're just talking
[13:08.56]  about in general
[13:10.24]  something that happened before this
[13:13.36]  other thing
[13:14.24]  that that had not happened before my
[13:16.48]  alarm went off
[13:18.08]  i heard a loud boom past simple the
[13:20.80]  reason why i wanted you to focus on the
[13:22.72]  adverb clause
[13:23.84]  is because you have that past right
[13:25.76]  there it'll help tell you that the main
[13:27.92]  verb
[13:28.40]  will also be a simple pass before my
[13:31.12]  alarm went off
[13:32.00]  i heard a loud boom uh let's look at i
[13:35.44]  kind of give you a hint for
[13:37.12]  uh one that's coming up anyway we will
[13:40.08]  get there
[13:40.96]  let's look at the next one the main verb
[13:44.72]  is learn all right we're talking about a
[13:48.12]  continuing action i um
[13:51.44]  english for four years and i will
[13:54.80]  continue to do so in the future
[13:58.88]  okay so i think you understand the
[14:02.08]  situation
[14:03.76]  another key word there is for f-o-r
[14:07.44]  the preposition not the number so i
[14:10.56]  um english for four years
[14:14.48]  and i will continue to do so in the
[14:16.88]  future
[14:17.52]  so in this case it's a continuing action
[14:21.76]  what do you think what what verb tense
[14:24.56]  would best
[14:25.36]  complete that sentence and again i think
[14:27.68]  excellent
[14:28.84]  uh lolly fulia sleepwalker
[14:32.16]  lucy uh yashir um
[14:35.68]  manolin arturo takayo trying to give as
[14:38.32]  many shout outs as i can
[14:40.16]  katrudus darby angela um
[14:44.56]  if you're just joining us we're doing a
[14:46.16]  verb tense quiz i think you probably
[14:48.56]  could tell
[14:49.68]  just by the way that i'm i've been
[14:51.44]  presenting this so
[14:52.88]  in this case you you guys are right
[14:55.04]  we're talking about
[14:56.64]  the present perfect continuous i have
[15:00.16]  been
[15:00.56]  learning english for four years and i
[15:03.52]  will continue to do so
[15:05.04]  in the future let me tell you why it's
[15:07.52]  the present perfect continuous so that
[15:09.52]  first part
[15:10.56]  um that first independent clause i've
[15:13.36]  been learning english for four years
[15:15.44]  something that started in the past it's
[15:17.76]  continued to the present
[15:19.28]  so that really tells you you're going to
[15:20.96]  use the perfect tense
[15:22.80]  but in this case it's better to use the
[15:24.64]  present perfect continuous
[15:26.88]  because the next part is saying that you
[15:29.20]  will continues
[15:30.80]  you will continue learning english in
[15:33.20]  the future
[15:34.48]  so that is one difference between the
[15:36.64]  present perfect
[15:37.68]  and present perfect continuous i think
[15:40.16]  of
[15:40.80]  an action that will continue in the
[15:43.12]  future you're going to use the present
[15:45.52]  perfect continuous
[15:47.04]  i have been learning all right i hope
[15:49.28]  that explanation makes it a little
[15:51.60]  easier
[15:52.32]  to understand let's look at
[15:55.52]  your next question you guys rock that
[15:58.80]  one right there
[16:00.80]  so here's the the situation there's two
[16:03.76]  sentences
[16:05.20]  your key is that there's like just some
[16:07.76]  evidence
[16:08.96]  uh and i don't want to give out i don't
[16:10.96]  want to give too much of it away
[16:12.40]  so think of the situation there's only
[16:15.12]  one minute left in the match
[16:16.80]  our team um win so
[16:20.16]  win is the verb that i want you to use
[16:23.60]  how are you going to use that what verb
[16:25.60]  tense in order to complete that sentence
[16:28.88]  so that it really that the situation
[16:31.84]  makes sense
[16:33.92]  what do you guys think write your answer
[16:36.08]  in the chat
[16:37.12]  because this is a quiz i want you to
[16:39.76]  write your answer in the chat i want you
[16:41.52]  to participate that's what these lessons
[16:44.32]  are all about so
[16:48.00]  this is a distinction between
[16:51.60]  uh again you're talking about the future
[16:54.08]  there's two different ways you can use
[16:55.68]  the future
[16:56.32]  tense you could use will or be going to
[17:00.08]  and i want to give some quick shout outs
[17:01.92]  uh people got that
[17:03.28]  correct uh yes
[17:06.96]  uh diane diane sorry if i mispronounced
[17:11.60]  names
[17:12.08]  yes amen in this case remember how i
[17:15.28]  told you before
[17:16.64]  that sudden uh sudden quick
[17:19.92]  actions like something that happens
[17:21.60]  immediately you're going to use
[17:23.60]  will uh i the the door somebody's
[17:27.04]  knocking at the door i'll answer it i'll
[17:28.72]  get it
[17:29.44]  in this case you're going to use going
[17:32.08]  to when there's
[17:32.96]  evidence or even there's a sign that
[17:36.16]  something will come in the future you're
[17:38.56]  going to use
[17:39.52]  going to there's only one minute left in
[17:42.00]  the match our team is going to win
[17:44.16]  this is great it's the same way
[17:47.28]  that think about this
[17:50.40]  if you eat something and you don't feel
[17:52.80]  well maybe you have food poisoning
[17:55.60]  you you would tell somebody that's a
[17:57.68]  sign that something is going to
[18:00.00]  happen in the future that's like some
[18:02.00]  evidence and you would tell somebody
[18:03.84]  like
[18:04.40]  oh i think i'm going to get sick oh i'm
[18:07.12]  going i'm going to get sick
[18:08.72]  so that's another example as to
[18:11.76]  when you're going to use going to and
[18:14.00]  not will
[18:15.04]  so i was trying to kind of trick you
[18:16.64]  guys with those because
[18:18.96]  a lot of times when you're talking about
[18:20.88]  the future especially like a planned
[18:23.36]  event you can use either one you could
[18:25.60]  use will or be going to
[18:27.28]  but sometimes it's more appropriate to
[18:30.40]  use
[18:30.80]  one over the other such as this case
[18:33.68]  right here when there's a sign or
[18:35.20]  evidence
[18:36.00]  that something is going to happen like
[18:38.64]  oh there's dark clouds outside i think
[18:40.48]  it's going to rain um
[18:42.24]  that then you're going to use going to
[18:45.44]  um yes mama said yes if you're sick i'm
[18:48.40]  going to throw up i'm going to be sick
[18:50.32]  exactly that's an another example
[18:53.36]  uh all right i started talking about
[18:55.76]  that now everybody's
[18:57.28]  uh commenting on it let's look at the
[19:01.12]  the next question or the next sentence
[19:03.36]  that i have for you
[19:04.64]  this is an example of the subjunctive
[19:07.76]  technically the subjunctive mood so
[19:10.96]  here's my sentence the doctor recommends
[19:13.44]  that she um some sleep
[19:18.16]  what are you going to how are you going
[19:20.56]  to complete
[19:21.36]  that sentence recommends is you're
[19:24.72]  really that's your
[19:25.60]  m that is the main verb the that
[19:28.64]  she um some sleep that is a clause
[19:31.68]  but a clause it still has a verb in it
[19:34.56]  and
[19:35.04]  i want you to tell me uh what you think
[19:37.60]  how are you going to complete that
[19:39.12]  sentence and maybe
[19:40.64]  uh i think i've done lessons about this
[19:43.44]  before so hopefully you've seen some of
[19:45.44]  the lessons
[19:46.40]  and it makes it much easier to
[19:48.32]  understand yes
[19:49.68]  uh georgia
[19:56.16]  uh sleepwalker
[19:59.36]  the pika takayo uh
[20:03.28]  angela so this is the subjunctive
[20:06.32]  subjunctive mood in this case you would
[20:09.04]  say
[20:10.00]  she get the doctor recommends that she
[20:12.96]  get
[20:13.44]  some rest did i say sleep in that first
[20:16.00]  no rest
[20:16.96]  sorry maybe i misspoke when i was
[20:18.64]  talking about it the doctor recommends
[20:20.96]  that she get some rest now
[20:22.88]  i will say that again i'm writing this
[20:26.80]  down
[20:27.28]  so in writing i think it's very common
[20:29.52]  people use the subjunctive mood
[20:31.68]  especially in the united states because
[20:34.32]  i'm from the u.s
[20:36.40]  that they would use this in the united
[20:38.16]  states i've heard that in the uk
[20:40.24]  some of you in the uk might know that
[20:42.40]  maybe they will say gets
[20:44.08]  now if we're talking about spoken
[20:46.64]  english
[20:47.68]  i think that people will say gets and
[20:50.80]  this is sometimes when
[20:53.52]  the way people speak does not always
[20:56.32]  match the way
[20:57.28]  somebody would write something that is
[20:59.12]  grammatically accepted or correct
[21:02.24]  spoken english can be a bit different
[21:04.08]  but because we're writing this
[21:05.76]  i really just wanted to point out that
[21:07.92]  okay that
[21:08.80]  this is an example of when you might use
[21:11.44]  the subjunctive mood
[21:12.88]  if you're talking about verbs like
[21:15.36]  recommend
[21:16.56]  or suggest or there there are a list of
[21:20.08]  verbs
[21:20.72]  and the reason for that let me try to
[21:23.12]  explain this quickly
[21:25.20]  is that remember if you're using a modal
[21:28.96]  verb you're going to follow it with the
[21:30.80]  base verb so
[21:32.08]  something that she should do she should
[21:35.28]  get some rest now you could say that
[21:38.16]  there's a hidden modal verb
[21:40.32]  that should we're hiding it and the
[21:42.72]  reason we're hiding it is because the
[21:44.56]  meaning of recommend
[21:46.40]  the meaning of that verb is actually
[21:48.64]  like it's telling you something you
[21:50.64]  think this should happen
[21:52.08]  i recommend that she should get some
[21:54.72]  rest but we don't need to say should
[21:57.04]  because of the verb recommend so you
[21:59.52]  just say the doctor recommends
[22:00.96]  that she get some rest the doctor
[22:02.80]  recommends she gets some rest
[22:04.48]  so that is the subjunctive mood um
[22:08.16]  here's another one are you guys ready
[22:10.56]  what do you think
[22:12.16]  now many now i talked about this
[22:15.44]  before previously a few minutes ago
[22:19.44]  two past events all right and now i'm
[22:22.40]  giving you two blanks
[22:23.92]  so think about the situation by the time
[22:26.56]  i
[22:27.20]  um at the restaurant that is actually an
[22:30.48]  adverb clause
[22:32.24]  the main clause everyone um
[22:35.36]  and i want you to use already order
[22:39.76]  so how would you complete that sentence
[22:42.80]  there's two different blanks in this one
[22:45.12]  by the time i um at the restaurant
[22:47.92]  everyone
[22:48.88]  um and i'm talking about two events
[22:52.48]  that are in the past so both of this has
[22:55.44]  already
[22:56.32]  uh happened and i'm kind of speaking as
[22:58.80]  i speak i think i'm using
[23:00.72]  the the verb tenses so the first
[23:04.32]  part by the time i um at the restaurant
[23:07.76]  that
[23:08.08]  is my adverb clause and with the adverb
[23:11.44]  clause
[23:12.08]  you're going to use the simple past
[23:15.44]  the next part it's appropriate
[23:18.00]  especially because you see the word
[23:19.68]  already that to tell you okay
[23:21.52]  the perfect tense and because we're
[23:23.52]  talking about the past
[23:25.04]  then you would use the past perfect
[23:27.76]  excellent great job
[23:29.20]  uh alexander fulia lolly
[23:33.28]  uh who else do we get sorry i know you
[23:36.40]  guys are throwing these in there
[23:38.32]  uh artura nyla perfect
[23:41.44]  uh all right let me show you the answer
[23:44.16]  yes
[23:44.48]  by the time i arrived at the restaurant
[23:48.56]  everyone had already eaten and again
[23:52.08]  this this time i'm talking about
[23:55.44]  two events that are in the past and
[23:57.52]  those are the two events that are
[23:59.04]  related to each other
[24:00.80]  because everyone had already ordered
[24:03.76]  that
[24:04.00]  happened first and then later on you
[24:06.72]  arrive at the restaurant
[24:08.32]  and then now then later after that then
[24:10.96]  that's where you are now
[24:12.24]  so it's almost like you're talking about
[24:14.00]  these two events that happened in the
[24:15.68]  past
[24:16.16]  by the time i arrived at the restaurant
[24:17.92]  everyone had already
[24:19.76]  eaten so i this is a good example as to
[24:22.80]  when you would use
[24:24.16]  the past perfect tense excellent so
[24:27.44]  this was just a a quick little grammar
[24:30.32]  quiz that i had for you guys today
[24:32.40]  to help you practice uh verb tenses
[24:36.24]  it wasn't a very long quiz there were
[24:38.00]  just 10 questions but it's always good
[24:39.84]  to get that practice
[24:41.20]  and i think it really helps with your
[24:43.20]  overall english fluency i
[24:46.16]  i want to say again if you guys like
[24:47.92]  what we do here at interactive english i
[24:50.00]  saw some members and patrons
[24:51.68]  uh with us gertrudis uh
[24:54.88]  lolly silvio uh
[24:58.84]  takayo uh the i will there are links
[25:01.36]  down in the description
[25:02.56]  if you'd like to join patreon youtube i
[25:04.72]  have some different rewards for you if
[25:06.40]  you want to check that out
[25:07.92]  help support uh what what we do here at
[25:10.72]  interactive english
[25:11.84]  if you enjoyed this lesson please give
[25:13.52]  it a like
[25:14.96]  hit that like button it lets me know
[25:17.76]  okay i should do more quiz lessons in
[25:19.76]  the future
[25:20.48]  this is just a great way for you guys to
[25:22.88]  practice
[25:23.60]  in real time and also for me to interact
[25:26.32]  with all of you and kind of explain
[25:28.64]  some of this different grammar which is
[25:30.48]  what we talked about today
[25:32.00]  some of these different verb tenses so i
[25:34.72]  hope you enjoyed
[25:35.84]  the lesson thank you guys so much for
[25:38.40]  for joining me
[25:39.76]  and we have one more question sorry i
[25:42.16]  have no more questions at this point
[25:43.84]  but in the future i will have more quiz
[25:46.80]  lessons like this
[25:48.08]  to help you practice your grammar help
[25:50.40]  you practice vocabulary pronunciation i
[25:52.96]  really enjoy doing these lessons
[25:54.88]  and if you guys think they're useful let
[25:57.04]  me know hit that like button
[25:58.96]  thanks uh for being here good trudes
[26:01.36]  lolly mzz
[26:02.64]  arterior arturo great to see you uh
[26:05.44]  ariane
[26:06.64]  darby sleepwalker laura angela
[26:13.62]  [Music]
[26:17.12]  thank you excellent i get to practice my
[26:19.36]  korean a little bit arturo
[26:22.24]  silvio good to see you esther
[26:25.68]  garish uh takayo yes thank you guys so
[26:28.64]  much for joining me
[26:29.76]  enjoy the rest of your weekend
